Time,java.text.MessageFormat Data
0,326
1,668
2,484
3,536
4,550
5,98
6,731
7,636
8,620
9,265
10,405
11,190
12,616
13,688
14,283
15,659
16,526
17,95
18,417
19,95
20,604
21,639
22,624
23,679
24,1012
25,886
26,164
27,91
28,269
29,873
30,202
31,207
32,710
33,742
34,682
35,558
36,201
37,1058
38,531
39,240
40,297
41,297
42,871
43,204
44,931
45,592
46,762
47,196
48,417
49,319
50,1010
51,788
52,484
53,75
54,791
55,409
56,565
57,907
58,437
59,440
60,86
61,814
62,268
63,145
64,549
65,850
66,894
67,192
68,380
69,567
70,781
71,959
72,1009
73,72
74,196
75,165
76,547
77,636
78,577
79,456
80,669
81,438
82,592
83,659
84,413
85,349
86,428
87,184
88,72
89,1225
90,1211
91,719
92,636
93,546
94,1246
95,956
96,415
97,375
98,670
99,368
100,334
101,765
102,534
103,373
104,903
105,569
106,328
107,1086
108,531
109,1375
110,921
111,178
112,1223
113,1151
114,587
115,1329
116,986
117,1377
118,811
119,219
120,726
121,179
122,1118
123,1446
124,791
125,1375
126,549
127,1099
128,242
129,882
130,1302
131,613
132,1305
133,214
134,912
135,1450
136,577
137,1398
138,375
139,837
140,1470
141,616
142,860
143,1470
144,613
145,781
146,1435
147,327
148,443
149,537
150,509
151,1075
152,1607
153,72
154,360
155,1082
156,1058
157,1308
158,169
159,496
160,346
161,963
162,814
163,1067
164,1552
165,1517
166,169
167,483
168,375
169,685
170,898
171,98
172,424
173,580
174,623
175,729
176,891
177,696
178,931
179,1203
180,963
181,1050
182,1332
183,591
184,686
185,755
186,619
187,627
188,736
189,418
190,396
191,319
192,281
193,220
194,1645
