Time,javax.xml.parsers.SecuritySupport$1 Data
0,248
1,398
2,420
3,324
4,334
5,518
6,422
7,409
8,356
9,398
10,494
11,234
12,446
13,414
14,396
15,422
16,502
17,478
18,662
19,608
20,276
21,684
22,218
23,568
24,542
25,468
26,388
27,218
28,744
29,404
30,290
31,614
32,686
33,374
34,564
35,356
36,234
37,675
38,590
39,346
40,592
41,274
42,452
43,730
44,380
45,614
46,342
47,608
48,712
49,444
50,588
51,632
52,832
53,422
54,422
55,452
56,332
57,469
58,402
59,446
60,444
61,386
62,308
63,866
64,794
65,518
66,420
67,328
68,912
69,704
70,378
71,494
72,284
73,566
74,398
75,710
76,422
77,723
78,405
79,962
80,680
81,194
82,888
83,824
84,470
85,914
86,704
87,1036
88,614
89,528
90,776
91,1108
92,592
93,962
94,428
95,878
96,632
97,898
98,396
99,916
100,236
101,662
102,1090
103,452
104,986
105,640
106,1060
107,398
108,664
109,1060
110,396
111,589
112,1036
113,380
114,322
115,394
116,826
117,1156
118,284
119,750
120,778
121,898
122,326
123,680
124,616
125,738
126,1108
127,1126
128,330
129,470
130,630
131,286
132,366
133,500
134,532
135,638
136,494
137,686
138,794
139,784
140,776
141,916
142,468
143,488
144,560
145,492
146,422
147,542
148,380
149,242
150,1254
