Time,java.lang.reflect.Method Data
0,84307
1,96798
2,95230
3,96620
4,96536
5,92193
6,97191
7,96796
8,64352
9,69363
10,66542
11,66915
12,65224
13,69322
14,69469
15,65365
16,69339
17,67243
18,64681
19,68791
20,61748
21,64997
22,66634
23,65390
24,66685
25,69378
26,69099
27,61616
28,62409
29,61706
30,62498
31,67368
32,62268
33,62478
34,66964
35,66984
36,66874
37,66378
38,62312
39,61953
40,69726
41,65244
42,62886
43,64316
44,62405
45,61631
46,67378
47,62527
48,67730
49,66468
50,61688
51,66957
52,63686
53,64309
54,64451
55,69360
56,66981
57,65369
58,61691
59,61880
60,67080
61,64666
62,65277
63,67324
64,66020
65,64369
66,61685
67,61834
68,67177
69,64267
70,61977
71,66441
72,68552
73,67299
74,62381
75,64050
76,65592
77,66983
78,68848
79,67741
80,61882
81,63572
82,62062
83,65391
84,66557
85,65258
86,64199
87,66472
88,63171
89,66455
90,66614
91,62823
92,62985
93,65981
94,63466
95,61745
96,71469
97,71191
98,66690
99,66569
100,66220
101,61700
102,70573
103,68024
104,63142
105,64625
106,61705
107,66644
108,64015
109,64501
110,66828
111,66286
112,64578
113,67337
114,66390
115,64302
116,71020
117,65052
118,71866
119,67590
120,62019
121,70522
122,69220
123,65182
124,71556
125,69306
126,71881
127,67009
128,63657
129,66766
130,62106
131,69945
132,72101
133,67000
134,71763
135,64772
136,68065
137,63742
138,68370
139,69968
140,66505
141,71585
142,62199
143,67688
144,70285
145,65188
146,71861
147,63898
148,67147
149,72150
150,66532
151,67203
152,72146
153,66480
154,66904
155,71949
156,64198
157,64355
158,61682
159,66259
160,64479
161,69136
162,72804
163,61789
164,64060
165,69855
166,69601
167,71603
168,62338
169,65955
170,61662
171,63922
172,69434
173,67060
174,69199
175,72450
176,72203
177,62305
178,65993
179,63916
180,66737
181,68634
182,61862
183,64721
184,66300
185,65344
186,66786
187,67407
188,66645
189,67643
190,71209
191,67514
192,69216
193,71731
194,65593
195,66645
196,66953
197,65631
198,66462
199,66793
200,63249
201,64222
202,64327
203,62654
204,62533
205,72698
