Time,com.sun.xml.stream.xerces.util.XMLStringBuffer Data
0,156
1,108
2,180
3,192
4,192
5,204
6,216
7,216
8,108
9,168
10,180
11,180
12,180
13,168
14,180
15,192
16,204
17,216
18,204
19,156
20,192
21,180
22,204
23,204
24,204
25,156
26,168
27,180
28,180
29,180
30,144
31,156
32,168
33,168
34,180
35,192
36,192
37,180
38,180
39,180
40,192
41,192
42,180
43,204
44,204
45,168
46,192
47,180
48,192
49,192
50,180
51,180
52,132
53,180
54,192
55,192
56,132
57,192
58,192
59,144
60,192
61,192
62,180
63,192
64,192
