Time,org.hibernate.hql.ast.exec.BasicExecutor Data
0,49
1,96
2,63
3,96
4,101
5,106
6,108
7,88
8,93
9,107
10,112
11,67
12,90
13,100
14,109
15,72
16,76
17,109
18,113
19,72
20,89
21,98
22,99
23,103
24,75
25,99
26,113
27,108
28,99
29,99
30,62
31,85
32,109
33,62
34,95
35,99
36,104
37,109
