Time,[Ljava.io.Closeable; Data
0,436
1,314
2,372
3,356
4,502
5,421
6,405
7,317
8,412
9,152
10,462
11,481
12,277
13,463
14,470
15,333
16,310
17,468
18,367
19,470
20,605
21,512
22,118
23,578
24,159
25,190
26,520
27,508
28,466
29,405
30,145
31,658
32,363
33,211
34,203
35,620
36,705
37,434
38,496
39,291
40,451
41,595
42,516
43,256
44,572
45,228
46,355
47,616
48,331
49,469
50,124
51,551
52,382
53,720
54,618
55,178
56,372
57,350
58,525
59,780
60,705
61,272
62,373
63,449
64,341
65,428
66,479
67,344
68,452
69,432
70,244
71,356
72,322
73,264
74,879
75,816
76,495
77,431
78,369
79,765
80,791
81,335
82,270
83,480
84,406
85,196
86,523
87,428
88,220
89,610
90,436
91,786
92,328
93,926
94,703
95,777
96,831
97,395
98,905
99,586
100,985
101,527
102,310
103,513
104,158
105,745
106,1015
107,574
108,916
109,212
110,818
111,322
112,745
113,962
114,413
115,926
116,166
117,605
118,1031
119,346
120,949
121,331
122,601
123,1013
124,457
125,608
126,1012
127,415
128,521
129,993
130,328
131,454
132,364
133,465
134,847
135,1074
136,398
137,607
138,632
139,940
140,180
141,333
142,329
143,629
144,565
145,828
146,1107
147,1027
148,180
149,321
150,343
151,479
152,713
153,234
154,371
155,346
156,497
157,652
158,459
159,686
160,779
161,644
162,836
163,912
164,345
165,469
166,531
167,356
168,437
169,498
170,376
171,352
172,177
173,242
174,1123
