Time,java.util.Collections$UnmodifiableMap Data
0,986
1,1453
2,1372
3,1471
4,1526
5,1200
6,1818
7,1781
8,1035
9,1639
10,1428
11,1642
12,1388
13,1858
14,1961
15,1684
16,2055
17,2013
18,1627
19,2014
20,1220
21,1611
22,1843
23,1827
24,1958
25,2268
26,2198
27,1519
28,1691
29,1705
30,1912
31,2470
32,1295
33,1363
34,1904
35,1933
36,1951
37,1884
38,1612
39,1538
40,2432
41,2047
42,1862
43,1872
44,1400
45,1227
46,2042
47,1449
48,2205
49,1949
50,1466
51,2173
52,1839
53,2095
54,1878
55,2547
56,1826
57,1572
58,1259
59,1378
60,2071
61,1704
62,1918
63,2309
64,1988
65,2108
66,1716
67,1777
68,1859
69,1384
70,1374
71,1788
72,2203
73,2200
74,1289
75,1570
76,1686
77,1958
78,2238
79,2278
80,1480
81,1742
82,1670
83,2041
84,2214
85,2147
86,1576
87,1767
88,1634
89,1855
90,1914
91,1729
92,1789
93,1900
94,1770
95,1648
96,2785
97,2757
98,1758
99,1745
100,1724
101,1324
102,2406
103,2343
104,1830
105,1827
106,1567
107,2218
108,2071
109,1956
110,1796
111,1712
112,1517
113,2111
114,1891
115,1607
116,2431
117,1929
118,2778
119,2458
120,1803
121,2747
122,2202
123,1686
124,2424
125,2105
126,2623
127,2113
128,1746
129,2137
130,1702
131,2564
132,2999
133,2428
134,2345
135,1547
136,2237
137,1611
138,2211
139,2547
140,1977
141,2684
142,1739
143,2409
144,3004
145,2172
146,2380
147,1584
148,2020
149,2638
150,1919
151,2196
152,2792
153,2046
154,2245
155,2894
156,2008
157,2219
158,1179
159,1652
160,1759
161,2344
162,2770
163,1450
164,1867
165,2376
166,2462
167,2763
168,1821
169,2161
170,1181
171,1539
172,2075
173,2043
174,2343
175,2803
176,2804
177,1667
178,1967
179,1996
180,2285
181,2595
182,1237
183,1514
184,1750
185,1809
186,1992
187,2203
188,2046
189,2350
190,2626
191,2464
192,2704
193,2911
194,1637
195,1797
196,1924
197,1808
198,1891
199,2058
200,1873
201,1916
202,1802
203,1843
204,1893
205,3213
