Time,[Ljava.util.regex.Pattern$GroupHead; Data
0,71
1,230
2,155
3,199
4,196
5,257
6,226
7,214
8,143
9,182
10,234
11,242
12,99
13,233
14,214
15,176
16,141
17,239
18,176
19,241
20,308
21,279
22,64
23,291
24,67
25,71
26,276
27,259
28,241
29,210
30,67
31,335
32,154
33,80
34,87
35,300
36,64
37,327
38,218
39,256
40,138
41,208
42,69
43,313
44,267
45,123
46,285
47,102
48,161
49,307
50,180
51,221
52,283
53,68
54,199
55,352
56,310
57,68
58,180
59,186
60,268
61,385
62,344
63,128
64,55
65,163
66,230
67,154
68,198
69,230
70,139
71,233
72,226
73,118
74,131
75,179
76,131
77,458
78,427
79,254
80,225
81,196
82,383
83,390
84,134
85,125
86,242
87,188
88,84
89,264
90,215
91,101
92,307
93,222
94,405
95,150
96,480
97,335
98,56
99,394
100,424
101,168
102,464
103,302
104,499
105,272
106,145
107,258
108,62
109,373
110,522
111,283
112,475
113,117
114,382
115,152
116,379
117,473
118,220
119,475
120,76
121,300
122,517
123,162
124,487
125,172
126,298
127,518
128,234
129,305
130,518
131,218
132,268
133,506
134,157
135,221
136,197
137,222
138,421
139,549
140,188
141,322
142,342
143,474
144,63
145,192
146,156
147,320
148,288
149,412
150,550
151,532
152,63
153,176
154,172
155,249
156,359
157,113
158,201
159,172
160,258
161,316
162,238
163,327
164,424
165,334
166,426
167,486
168,161
169,243
170,274
171,174
172,221
173,258
174,144
175,170
176,83
177,75
178,83
179,586
