Time,[Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$Property; Data
0,249
1,399
2,421
3,325
4,335
5,519
6,423
7,411
8,357
9,171
10,399
11,495
12,235
13,447
14,415
15,253
16,97
17,397
18,423
19,503
20,481
21,663
22,609
23,277
24,685
25,219
26,155
27,569
28,543
29,469
30,389
31,219
32,745
33,405
34,185
35,163
36,291
37,615
38,171
39,687
40,375
41,565
42,357
43,235
44,677
45,591
46,347
47,593
48,275
49,453
50,731
51,277
52,381
53,615
54,165
55,165
56,343
57,609
58,713
59,145
60,261
61,445
62,589
63,633
64,833
65,185
66,423
67,423
68,453
69,333
70,471
71,403
72,447
73,445
74,387
75,309
76,277
77,867
78,795
79,519
80,421
81,331
82,913
83,705
84,379
85,245
86,495
87,285
88,205
89,567
90,399
91,235
92,711
93,423
94,197
95,725
96,407
97,963
98,681
99,195
100,889
101,825
102,471
103,915
104,705
105,1037
106,615
107,531
108,195
109,777
110,1109
111,593
112,963
113,429
114,879
115,633
116,899
117,397
118,917
119,237
120,663
121,1091
122,453
123,987
124,249
125,641
126,1061
127,399
128,665
129,1061
130,397
131,591
132,1037
133,187
134,381
135,323
136,395
137,827
138,1157
139,285
140,751
141,779
142,899
143,327
144,211
145,681
146,617
147,739
148,1109
149,1127
150,277
151,331
152,471
153,631
154,289
155,367
156,501
157,533
158,639
159,495
160,687
161,795
162,785
163,777
164,917
165,469
166,489
167,561
168,493
169,423
170,543
171,381
172,259
173,237
174,243
175,163
176,1255
