Time,com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer Data
0,1311
1,2024
2,2132
3,1667
4,1725
5,578
6,2604
7,2140
8,221
9,2083
10,712
11,1823
12,926
13,2024
14,2488
15,1234
16,2256
17,2113
18,569
19,1319
20,569
21,2015
22,2140
23,2529
24,2421
25,3300
26,3037
27,114
28,569
29,529
30,1439
31,3415
32,1158
33,848
34,2846
35,2720
36,2363
37,1985
38,1158
39,357
40,3693
41,2055
42,993
43,886
44,1506
45,299
46,3068
47,926
48,3416
49,1908
50,221
51,2827
52,654
53,1823
54,1234
55,3366
56,2952
57,1774
58,221
59,462
60,2961
61,1426
62,2287
63,3637
64,1435
65,1939
66,105
67,578
68,3068
69,904
70,906
71,1764
72,3037
73,3541
74,801
75,1359
76,2247
77,2942
78,3153
79,4121
80,453
81,654
82,1004
83,2140
84,2140
85,2287
86,1707
87,2372
88,2046
89,2256
90,2247
91,1970
92,1591
93,1435
94,548
95,453
96,4282
97,3934
98,2604
99,2131
100,1697
101,337
102,4505
103,3501
104,1930
105,1282
106,221
107,2488
108,1475
109,1098
110,2836
111,2024
112,1234
113,3532
114,2140
115,1060
116,3596
117,2065
118,4746
119,3385
120,1042
121,4389
122,4081
123,2372
124,4514
125,3501
126,5103
127,3068
128,770
129,2663
130,1042
131,3849
132,5451
133,2961
134,4746
135,2171
136,4343
137,886
138,3153
139,4438
140,2015
141,4523
142,1245
143,3300
144,5366
145,2287
146,4862
147,1302
148,3193
149,5219
150,2024
151,3309
152,5219
153,2015
154,2952
155,5103
156,1002
157,1939
158,230
159,1657
160,2007
161,4090
162,5683
163,453
164,1475
165,3732
166,3858
167,4438
168,685
169,1676
170,230
171,1118
172,3385
173,3077
174,3666
175,5451
176,5547
177,685
178,1435
179,1698
180,2372
181,3144
182,578
183,1494
184,1870
185,2519
186,2681
187,3184
188,2488
189,3416
190,3934
191,3889
192,3849
193,4523
194,2363
195,2468
196,2807
197,2479
198,2140
199,2720
200,1939
201,1350
202,1243
203,1274
204,886
205,6156
