Time,[Lantlr.collections.AST; Data
0,211
1,230
2,217
3,225
4,230
5,238
6,275
7,230
8,267
9,280
10,230
11,280
12,225
13,230
14,280
15,273
16,275
17,280
18,280
19,280
20,280
21,285
22,230
23,225
24,277
25,225
26,280
27,280
28,267
29,280
30,280
