Time,com.mchange.v2.c3p0.impl.NewProxyResultSet Data
0,534
1,176
2,476
3,478
4,553
5,488
6,531
7,438
8,381
9,95
10,537
11,494
12,493
13,484
14,430
15,156
16,534
17,177
18,544
19,642
20,573
21,89
22,581
23,483
24,552
25,544
26,469
27,621
28,151
29,260
30,98
31,555
32,105
33,631
34,489
35,553
36,366
37,403
38,140
39,672
40,559
41,361
42,560
43,170
44,578
45,375
46,401
47,616
48,516
49,824
50,570
51,411
52,374
53,554
54,891
55,638
56,315
57,292
58,486
59,163
60,465
61,486
62,241
63,455
64,541
65,139
66,242
67,417
68,363
69,992
70,1004
71,545
72,538
73,480
74,899
75,791
76,249
77,136
78,474
79,389
80,124
81,552
82,438
83,124
84,580
85,448
86,134
87,987
88,156
89,1096
90,620
91,895
92,964
93,162
94,1078
95,623
96,1013
97,556
98,362
99,545
100,683
101,1027
102,560
103,1086
104,187
105,654
106,372
107,867
108,1076
109,536
110,1029
111,634
112,1063
113,163
114,1096
115,406
116,571
117,1104
118,533
119,569
120,1104
121,527
122,554
123,1086
124,453
125,412
126,516
127,481
128,871
129,1171
130,393
131,678
132,640
133,1083
134,470
135,453
136,611
137,561
138,1007
139,1106
140,1111
141,457
142,326
143,545
144,851
145,135
146,487
147,177
148,552
149,593
150,533
151,626
152,954
153,626
154,932
155,1081
156,381
157,544
158,601
159,365
160,525
161,551
162,274
163,464
164,90
165,114
166,1139
