Time,com.mchange.v2.c3p0.impl.NewProxyPreparedStatement Data
0,621
1,209
2,556
3,553
4,644
5,560
6,614
7,507
8,460
9,115
10,623
11,580
12,567
13,564
14,507
15,186
16,621
17,212
18,632
19,745
20,668
21,108
22,678
23,574
24,641
25,632
26,538
27,723
28,181
29,319
30,122
31,647
32,126
33,740
34,566
35,644
36,435
37,482
38,166
39,779
40,650
41,441
42,652
43,204
44,674
45,439
46,480
47,723
48,596
49,966
50,667
51,474
52,459
53,646
54,1035
55,746
56,376
57,361
58,559
59,196
60,542
61,559
62,306
63,538
64,629
65,171
66,304
67,495
68,417
69,1162
70,1157
71,634
72,626
73,556
74,1059
75,938
76,315
77,157
78,560
79,463
80,148
81,642
82,519
83,148
84,677
85,530
86,159
87,1137
88,188
89,1274
90,739
91,1053
92,1117
93,194
94,1247
95,720
96,1189
97,649
98,432
99,634
100,798
101,1205
102,652
103,1262
104,207
105,769
106,443
107,1011
108,1246
109,622
110,1189
111,744
112,1241
113,196
114,1274
115,470
116,665
117,1284
118,619
119,663
120,1284
121,613
122,645
123,1263
124,526
125,492
126,597
127,561
128,1034
129,1368
130,467
131,791
132,744
133,1253
134,540
135,527
136,707
137,654
138,1169
139,1285
140,1295
141,523
142,404
143,634
144,1002
145,161
146,565
147,212
148,642
149,692
150,619
151,734
152,1107
153,731
154,1095
155,1256
156,467
157,631
158,699
159,438
160,608
161,640
162,341
163,540
164,112
165,152
166,1327
