Time,org.codehaus.jackson.map.ser.impl.SerializerCache$TypeKey Data
0,169
1,275
2,285
3,260
4,234
5,113
6,350
7,290
8,68
9,305
10,242
11,142
12,275
13,335
14,158
15,246
16,210
17,101
18,174
19,101
20,197
21,234
22,269
23,238
24,370
25,330
26,115
27,189
28,334
29,137
30,101
31,294
32,270
33,258
34,198
35,137
36,81
37,342
38,221
39,113
40,137
41,173
42,69
43,294
44,127
45,330
46,210
47,282
48,198
49,173
50,346
51,294
52,197
53,89
54,294
55,161
56,245
57,334
58,186
59,210
60,81
61,306
62,113
63,105
64,210
65,295
66,330
67,113
68,150
69,230
70,286
71,307
72,390
73,89
74,117
75,209
76,234
77,245
78,176
79,248
80,211
81,260
82,260
83,225
84,163
85,200
86,103
87,441
88,381
89,258
90,234
91,190
92,77
93,426
94,327
95,185
96,165
97,270
98,162
99,141
100,282
101,222
102,149
103,354
104,234
105,153
106,355
107,221
108,455
109,306
110,125
111,414
112,379
113,233
114,431
115,354
116,487
117,306
118,262
119,125
120,378
121,523
122,294
123,451
124,221
125,390
126,126
127,307
128,406
129,222
130,427
131,141
132,344
133,501
134,245
135,463
136,142
137,318
138,499
139,222
140,330
141,499
142,222
143,286
144,467
145,210
146,178
147,210
148,379
149,523
150,89
151,162
152,366
153,390
154,426
155,101
156,198
157,330
158,306
159,343
160,487
161,503
162,101
163,162
164,185
165,258
166,307
167,101
168,173
169,202
170,269
171,262
172,294
173,246
174,330
175,391
176,366
177,379
178,427
179,246
180,242
181,278
182,261
183,214
184,266
185,189
186,168
187,177
188,153
189,575
