Time,org.slf4j.impl.Log4jLoggerAdapter Data
0,131
1,120
2,131
3,120
4,131
5,120
6,131
7,120
8,131
9,120
10,131
11,120
12,131
13,120
14,131
15,131
16,120
17,131
18,120
19,131
20,120
21,131
22,120
23,131
24,120
25,131
26,120
27,131
28,120
29,131
30,131
31,120
32,131
33,131
34,120
35,131
36,120
37,131
38,120
39,131
40,131
41,120
42,131
43,120
44,131
45,131
46,120
47,131
48,131
49,120
