Time,javax.xml.parsers.SecuritySupport$2 Data
0,210
1,259
2,247
3,223
4,207
5,198
6,251
7,239
8,331
9,304
10,342
11,284
12,271
13,234
14,372
15,202
16,145
17,307
18,343
19,282
20,337
21,295
22,296
23,226
24,365
25,307
26,304
27,356
28,222
29,294
30,316
31,416
32,211
33,226
34,234
35,201
36,223
37,222
38,193
39,433
40,397
41,259
42,456
43,352
44,189
45,247
46,283
47,355
48,361
49,202
50,481
51,340
52,444
53,412
54,235
55,457
56,352
57,518
58,307
59,264
60,388
61,554
62,296
63,481
64,214
65,439
66,316
67,449
68,458
69,331
70,545
71,226
72,493
73,320
74,530
75,332
76,530
77,294
78,518
79,413
80,578
81,375
82,389
83,449
84,340
85,308
86,369
87,554
88,563
89,235
90,315
91,250
92,266
93,319
94,247
95,343
96,397
97,392
98,388
99,458
100,234
101,244
102,280
103,246
104,271
105,190
106,627
