Time,java.lang.reflect.WeakCache$LookupValue Data
0,634
1,406
2,510
3,540
4,676
5,640
6,552
7,448
8,520
9,642
10,640
11,338
12,656
13,626
14,470
15,379
16,646
17,420
18,666
19,752
20,690
21,182
22,756
23,214
24,696
25,688
26,624
27,632
28,918
29,446
30,232
31,856
32,892
33,640
34,660
35,418
36,594
37,740
38,702
39,302
40,778
41,270
42,406
43,832
44,494
45,614
46,190
47,716
48,530
49,1020
50,832
51,570
52,428
53,706
54,1104
55,882
56,410
57,488
58,646
59,388
60,602
61,664
62,392
63,626
64,584
65,450
66,436
67,438
68,1194
69,1186
70,680
71,574
72,542
73,982
74,1100
75,386
76,350
77,638
78,560
79,702
80,598
81,262
82,792
83,606
84,1152
85,388
86,1254
87,990
88,1004
89,1188
90,502
91,1236
92,756
93,1332
94,712
95,434
96,694
97,964
98,1366
99,784
100,1248
101,1040
102,442
103,1082
104,1310
105,566
106,1314
107,742
108,1382
109,400
110,1278
111,508
112,806
113,1368
114,640
115,810
116,1366
117,562
118,706
119,1358
120,474
121,612
122,530
123,632
124,1156
125,1432
126,560
127,794
128,868
129,1312
130,192
131,524
132,462
133,890
134,794
135,1154
136,1536
137,1416
138,192
139,510
140,432
141,666
142,1006
143,280
144,552
145,414
146,692
147,878
148,642
149,892
150,1154
151,860
152,1154
153,1312
154,422
155,666
156,708
157,428
158,634
159,694
160,478
161,500
162,314
163,1530
