Time,java.util.WeakHashMap$Entry Data
0,2901
1,3158
2,3158
3,3124
4,3166
5,3004
6,3299
7,3286
8,2800
9,3244
10,3120
11,3293
12,3182
13,3372
14,3384
15,3228
16,3440
17,3400
18,3159
19,3316
20,3029
21,3515
22,3529
23,3520
24,3570
25,3740
26,3663
27,3258
28,3357
29,3342
30,3421
31,3787
32,3318
33,3470
34,3788
35,3814
36,3758
37,3767
38,3591
39,3491
40,4002
41,3742
42,3629
43,3625
44,3512
45,3533
46,3993
47,3721
48,4070
49,3887
50,3606
51,4045
52,3753
53,3925
54,3797
55,4188
56,3922
57,3888
58,3730
59,3783
60,4187
61,3922
62,4055
63,4302
64,4000
65,4117
66,3830
67,3930
68,4130
69,4005
70,4039
71,4180
72,4440
73,4477
74,3858
75,4244
76,4305
77,4448
78,4558
79,4661
80,4095
81,4200
82,4238
83,4400
84,4457
85,4422
86,4137
87,4432
88,4361
89,4419
90,4440
91,4413
92,4396
93,4366
94,4316
95,4227
96,4851
97,4855
98,4427
99,4551
100,4537
101,4306
102,4920
103,4848
104,4580
105,4522
106,4376
107,4705
108,4619
109,4530
110,4621
111,4721
112,4606
113,4961
114,4784
115,4608
116,5079
117,4816
118,5260
119,5074
120,4699
121,5214
122,5059
123,5005
124,5365
125,5220
126,5478
127,5163
128,4898
129,5171
130,4924
131,5370
132,5585
133,5259
134,5267
135,5066
136,5459
137,4980
138,5354
139,5579
140,5165
141,5598
142,5068
143,5419
144,5759
145,5250
146,5536
147,5263
148,5533
149,5865
150,5428
151,5579
152,5889
153,5438
154,5570
155,5940
156,5353
157,5478
158,5184
159,5452
160,5504
161,5847
162,6113
163,5295
164,5490
165,5811
166,5856
167,6035
168,5403
169,5606
170,5305
171,5472
172,5830
173,5800
174,5934
175,6217
176,6220
177,5485
178,5655
179,5688
180,5805
181,5953
182,5568
183,5699
184,5850
185,5859
186,5989
187,6071
188,5962
189,6122
190,6219
191,6210
192,6233
193,6410
194,5957
195,6060
196,6126
197,6027
198,6059
199,6162
200,6013
201,5964
202,5929
203,5975
204,5924
205,6766
