Time,java.util.IdentityHashMap$KeySet Data
0,724
1,433
2,652
3,596
4,811
5,643
6,740
7,530
8,573
9,246
10,723
11,741
12,262
13,678
14,716
15,527
16,350
17,729
18,467
19,761
20,992
21,825
22,220
23,218
24,927
25,211
26,214
27,758
28,804
29,769
30,562
31,892
32,357
33,347
34,321
35,838
36,223
37,1024
38,633
39,811
40,448
41,618
42,282
43,1003
44,844
45,497
46,845
47,425
48,914
49,425
50,614
51,965
52,664
53,1047
54,879
55,219
56,520
57,541
58,816
59,1198
60,1063
61,357
62,449
63,644
64,399
65,639
66,644
67,464
68,653
69,763
70,392
71,400
72,510
73,371
74,1382
75,1288
76,770
77,733
78,599
79,1289
80,1089
81,445
82,275
83,703
84,555
85,810
86,570
87,934
88,619
89,254
90,1223
91,359
92,1565
93,941
94,1261
95,1332
96,392
97,1509
98,919
99,1472
100,832
101,449
102,774
103,1072
104,1546
105,845
106,1533
107,361
108,1140
109,483
110,1125
111,1504
112,722
113,1403
114,216
115,1029
116,1652
117,399
118,1567
119,493
120,886
121,1614
122,722
123,893
124,1614
125,698
126,816
127,1543
128,563
129,643
130,643
131,708
132,1270
133,1776
134,563
135,1025
136,976
137,1507
138,212
139,553
140,589
141,867
142,852
143,1389
144,1625
145,1622
146,212
147,504
148,498
149,770
150,1125
151,275
152,633
153,467
154,802
155,947
156,732
157,1022
158,1262
159,1017
160,1334
161,1492
162,575
163,761
164,889
165,562
166,693
167,801
168,463
169,632
170,284
171,266
172,1766
