Time,com.sun.xml.bind.api.TypeReference Data
0,9410
1,943
2,19761
3,943
4,19761
5,943
6,19761
7,943
8,19761
9,943
10,19761
11,943
12,127
13,19761
14,943
15,19761
16,943
17,19761
18,943
19,127
20,19761
21,943
22,19761
23,943
24,19761
25,943
26,19761
27,943
28,19761
29,943
30,19761
31,943
32,19761
33,943
34,19761
35,943
36,19761
37,943
38,19761
39,943
40,127
41,19761
42,943
43,19761
44,943
45,127
46,19761
47,943
48,19761
49,943
50,19761
51,943
52,19761
53,943
54,19761
55,943
56,19761
57,943
58,19761
59,943
60,127
61,19761
62,943
63,19761
64,943
65,127
66,19761
67,943
68,19761
69,943
70,19761
71,943
72,19761
73,943
74,19761
75,943
76,19761
77,943
78,19761
79,943
80,19761
81,943
82,19761
83,943
84,19761
85,943
86,127
87,19761
88,943
89,19761
90,943
91,19761
92,943
93,19761
94,943
95,19761
96,943
97,19761
98,943
99,127
100,19761
101,943
102,19761
103,943
104,19761
105,943
106,19761
107,943
108,19761
109,943
110,127
111,19761
112,943
113,19761
114,943
115,19761
116,943
117,19761
118,943
119,19761
120,943
121,19761
122,943
123,19761
124,943
125,19761
126,943
127,127
128,19761
129,943
130,127
131,19761
132,943
133,19761
134,943
135,19761
136,943
137,19761
138,943
139,19761
140,943
141,19761
142,943
143,19761
144,943
145,127
146,19761
147,943
148,127
149,19761
150,943
151,19761
152,943
153,19761
154,943
155,127
156,19761
157,943
158,19761
159,943
160,19761
161,943
162,19761
163,943
164,127
165,19761
166,943
167,19761
168,943
169,19761
170,943
171,19761
172,943
173,19761
174,943
175,19761
176,943
177,127
178,19761
179,943
180,19761
181,943
182,127
183,19761
184,943
185,19761
186,943
187,19761
188,943
189,19761
190,943
191,19761
192,943
193,19761
194,943
195,19761
196,943
197,19761
198,943
199,19761
200,943
201,19761
202,943
203,19761
204,943
205,19761
206,943
207,19761
208,943
209,127
210,19761
211,943
212,19761
213,943
214,19761
215,943
216,19761
217,943
218,19761
219,943
220,19761
221,943
222,127
223,19761
224,943
225,19761
226,943
227,19761
228,943
229,19761
230,943
231,19761
232,943
233,127
234,19761
235,943
236,19761
237,943
238,19761
239,943
240,19761
241,943
242,19761
243,943
244,19761
245,943
246,19761
247,943
248,19761
249,943
250,19761
251,943
252,19761
253,943
254,19761
255,943
256,19761
257,943
258,19761
259,943
260,19761
261,943
262,19761
263,943
264,19761
265,943
266,19761
267,943
268,19761
269,943
270,19761
271,943
272,19761
273,943
274,19761
275,943
276,19761
277,943
278,19761
279,943
280,19761
281,943
282,19761
283,943
284,19761
285,943
286,19761
287,943
288,19761
289,943
290,19761
291,943
292,19761
293,943
294,19761
295,943
296,19761
297,943
298,19761
299,943
300,19761
301,943
302,19761
303,943
304,19761
305,943
306,19761
307,943
308,19761
309,943
310,19761
311,943
312,19761
313,943
314,19761
315,943
316,19761
317,943
318,19761
319,943
320,19761
321,943
322,19761
323,943
324,19761
325,943
326,19761
327,943
328,19761
329,943
330,19761
331,943
332,19761
333,943
334,19761
335,943
336,19761
337,943
338,127
339,19761
340,943
341,19761
342,943
343,19761
344,943
345,19761
346,943
347,19761
348,943
349,127
350,19761
351,943
352,19761
353,943
354,19761
355,943
356,19761
357,943
358,19761
359,943
360,19761
361,943
362,19761
363,943
364,127
365,19761
366,943
367,19761
368,943
369,19761
370,943
371,19761
372,943
373,19761
374,943
375,19761
376,943
377,19761
378,943
379,19761
380,943
381,19761
382,943
383,19761
384,943
385,19761
386,943
387,19761
388,943
389,127
390,19761
391,943
392,19761
393,943
394,19761
395,943
396,19761
397,943
398,19761
399,943
400,19761
401,943
402,19761
403,943
404,19761
405,943
406,19761
407,943
408,19761
409,943
410,19761
411,943
412,19761
413,943
414,19761
415,943
416,19761
417,943
418,19761
419,943
420,19761
421,943
422,19761
423,943
424,19761
425,943
426,19761
427,943
428,19761
429,943
430,19761
431,943
432,19761
433,943
434,19761
435,943
