Time,[Lorg.aspectj.weaver.ast.Var; Data
0,3234
1,3234
2,3234
3,3234
4,3234
5,3234
6,3234
7,3234
8,3234
9,3234
10,3234
11,3234
12,3234
13,3234
14,3234
15,3234
16,3234
17,3234
18,3234
19,3234
20,3234
21,3234
22,3234
23,3234
24,3234
25,3234
26,3234
27,3234
28,3234
29,3234
30,3234
31,3234
32,3234
33,3234
34,3234
35,3234
36,3234
37,3234
38,3234
39,3234
40,3234
41,3234
42,3234
43,3234
44,3234
45,3234
46,3234
47,3234
48,3234
49,3234
50,3234
51,3234
52,3234
53,3234
54,3234
55,3234
56,3234
57,3234
58,3234
59,3234
60,3234
61,3234
62,3234
63,3234
64,3234
65,3234
66,3234
67,3234
68,3234
69,3234
70,3234
71,3234
72,3234
73,3234
74,3234
75,3234
76,3234
77,3234
78,3234
79,3234
80,3234
81,3234
82,3234
83,3234
84,3234
85,3234
86,3234
87,3234
88,3234
89,3234
90,3234
91,3234
92,3234
93,3234
94,3234
95,3234
96,3234
97,3234
98,3234
99,3234
100,3234
101,3234
102,3234
103,3234
104,3234
105,3234
106,3234
107,3234
108,3234
109,3234
110,3234
111,3234
112,3234
113,3234
114,3234
115,3234
116,3234
117,3234
118,3234
119,3234
120,3234
121,3234
122,3234
123,3234
124,3234
125,3234
126,3234
127,3234
128,3234
129,3234
130,3234
131,3234
132,3234
133,3234
134,3234
135,3234
136,3234
137,3234
138,3234
139,3234
140,3234
141,3234
142,3234
143,3234
144,3234
145,3234
146,3234
147,3234
148,3234
149,3234
150,3234
151,3234
152,3234
153,3234
154,3234
155,3234
156,3234
157,3234
158,3234
159,3234
160,3234
161,3234
162,3234
163,3234
164,3234
165,3234
166,3234
167,3234
168,3234
169,3234
170,3234
171,3234
172,3234
173,3234
174,3234
175,3234
176,3234
177,3234
178,3234
179,3234
180,3234
181,3234
182,3234
183,3234
184,3234
185,3234
186,3234
187,3234
188,3234
189,3234
190,3234
191,3234
192,3234
193,3234
194,3234
195,3234
196,3234
197,3234
198,3234
199,3234
200,3234
201,3234
202,3234
203,3234
204,3234
205,3234
