Time,java.util.Formatter$FormatSpecifier Data
0,138
1,130
2,162
3,145
4,145
5,161
6,153
7,150
8,140
9,149
10,178
11,159
12,184
13,165
14,171
15,145
16,140
17,185
18,177
19,200
20,132
21,152
22,133
23,177
24,160
25,194
26,227
27,142
28,174
29,213
30,210
31,119
32,173
33,241
34,233
35,152
36,124
37,149
38,135
39,107
40,276
41,259
42,151
43,129
44,217
45,249
46,111
47,155
48,127
49,153
50,205
51,131
52,247
53,293
54,210
55,238
56,256
57,272
58,183
59,313
60,174
61,153
62,210
63,325
64,182
65,280
66,234
67,227
68,315
69,308
70,171
71,336
72,283
73,204
74,326
75,145
76,205
77,332
78,173
79,313
80,153
81,152
82,254
83,346
84,128
85,176
86,211
87,291
88,124
89,176
90,196
91,255
92,339
93,327
94,160
95,207
96,152
97,167
98,146
99,182
100,246
101,236
102,254
103,294
104,148
105,166
106,137
107,170
108,116
109,387
