Time,com.dataguise.webservices.beans.DgExpressionListBean Data
0,182
1,168
2,182
3,182
4,182
5,238
6,238
7,252
8,238
9,252
10,252
11,84
12,210
13,224
14,224
15,224
16,224
17,224
18,168
19,168
20,168
21,168
22,126
23,168
24,224
25,224
26,168
27,210
28,168
29,336
30,168
31,168
32,224
33,224
34,224
35,280
36,392
37,168
38,224
39,224
40,238
41,238
42,210
43,196
44,168
45,224
46,392
47,392
48,238
49,238
50,336
51,392
52,224
53,280
54,224
55,224
56,224
57,280
58,224
59,336
60,168
61,224
62,378
63,392
64,224
65,392
66,224
67,392
68,336
69,224
70,224
71,392
72,224
73,224
74,392
75,224
76,224
77,392
78,224
79,196
80,224
81,224
82,238
83,392
84,210
85,224
86,224
87,392
88,224
89,224
90,224
91,224
92,392
93,392
94,392
95,224
96,224
97,266
98,168
99,168
100,168
101,336
102,224
103,336
104,224
105,224
106,224
107,224
108,224
109,392
