Time,com.dataguise.beans.DgDbConnectionParams Data
0,75
1,72
2,75
3,150
4,150
5,71
6,150
7,73
8,75
9,150
10,75
11,75
12,75
13,75
14,75
15,150
16,150
17,150
18,75
19,75
20,75
21,75
22,150
23,75
24,150
25,150
26,150
27,150
28,150
29,150
30,150
31,150
32,75
33,150
34,150
35,144
36,150
37,150
38,150
39,150
40,150
41,150
42,150
43,150
44,150
45,150
46,150
47,75
48,75
49,150
50,150
51,75
52,150
