Time,[Ljava.util.HashMap$Entry; Data
0,78757
1,120679
2,117976
3,117332
4,117961
5,108786
6,124701
7,123463
8,102302
9,118572
10,113182
11,118727
12,112393
13,123458
14,124637
15,113814
16,125130
17,123311
18,109263
19,120749
20,104747
21,116210
22,123797
23,118677
24,125432
25,131352
26,130190
27,110585
28,112047
29,109956
30,115636
31,131215
32,110412
33,108431
34,125996
35,126620
36,125943
37,125477
38,114677
39,109763
40,134361
41,120566
42,115062
43,113800
44,112340
45,107501
46,128641
47,115110
48,131062
49,125881
50,109131
51,128998
52,118856
53,125415
54,117076
55,136248
56,125540
57,115804
58,107730
59,111358
60,131959
61,114884
62,120973
63,134501
64,122180
65,125417
66,112568
67,115742
68,128009
69,112840
70,113549
71,123288
72,136505
73,134941
74,109344
75,121520
76,121893
77,129195
78,137478
79,137218
80,111254
81,118961
82,116905
83,127409
84,130047
85,124553
86,121471
87,127046
88,119000
89,127021
90,125320
91,119855
92,122956
93,123398
94,119839
95,112855
96,146339
97,145923
98,126449
99,123734
100,123279
101,110476
102,139209
103,138290
104,120935
105,123820
106,112861
107,130773
108,126499
109,118915
110,127489
111,125769
112,115476
113,132317
114,128313
115,116360
116,143010
117,123484
118,148452
119,139054
120,119324
121,143610
122,138903
123,125679
124,144964
125,135369
126,150312
127,133087
128,121823
129,132824
130,119437
131,139909
132,154069
133,138574
134,143713
135,121870
136,138713
137,120792
138,139026
139,149404
140,127870
141,150411
142,119968
143,137577
144,152640
145,127200
146,145267
147,121696
148,136219
149,152225
150,131126
151,137940
152,153511
153,129463
154,135243
155,154387
156,127285
157,131035
158,114705
159,125962
160,128321
161,145392
162,154796
163,114798
164,128242
165,140115
166,144041
167,153350
168,118783
169,133361
170,115198
171,123011
172,137284
173,137198
174,144187
175,154816
176,155175
177,118184
178,128683
179,126703
180,135802
181,144475
182,116662
183,119869
184,127844
185,126219
186,134170
187,136607
188,134445
189,138916
190,148508
191,143070
192,147553
193,155919
194,126337
195,132065
196,134045
197,128026
198,132587
199,135320
200,128999
201,127530
202,124944
203,123959
204,124126
205,162865
