Time,java.util.concurrent.ConcurrentHashMap$Segment Data
0,2466
1,2815
2,2731
3,2730
4,2761
5,2475
6,2869
7,2823
8,2386
9,2784
10,2648
11,2722
12,2520
13,2835
14,2828
15,2605
16,2853
17,2796
18,2452
19,2690
20,2423
21,2644
22,2844
23,2730
24,2866
25,2986
26,2878
27,2433
28,2481
29,2476
30,2577
31,2964
32,2501
33,2521
34,2897
35,2895
36,2848
37,2796
38,2537
39,2446
40,2998
41,2712
42,2537
43,2536
44,2550
45,2431
46,2969
47,2523
48,3003
49,2819
50,2423
51,2883
52,2634
53,2778
54,2530
55,2975
56,2878
57,2608
58,2428
59,2480
60,2943
61,2585
62,2688
63,3003
64,2727
65,2795
66,2462
67,2490
68,2890
69,2499
70,2519
71,2754
72,3032
73,3004
74,2480
75,2752
76,2686
77,2905
78,3099
79,3050
80,2439
81,2620
82,2521
83,2724
84,2835
85,2674
86,2748
87,2834
88,2646
89,2811
90,2812
91,2634
92,2662
93,2661
94,2621
95,2442
96,3214
97,3202
98,2849
99,2816
100,2777
101,2440
102,3086
103,3127
104,2651
105,2685
106,2428
107,2829
108,2739
109,2539
110,2872
111,2777
112,2566
113,2986
114,2790
115,2517
116,3126
117,2672
118,3297
119,3062
120,2531
121,3115
122,3187
123,2735
124,3256
125,2965
126,3314
127,2925
128,2650
129,2879
130,2527
131,3084
132,3366
133,2945
134,3254
135,2648
136,3114
137,2661
138,3072
139,3290
140,2807
141,3294
142,2555
143,2976
144,3407
145,2709
146,3275
147,2743
148,2972
149,3366
150,2836
151,2982
152,3366
153,2804
154,2914
155,3356
156,2695
157,2795
158,2451
159,2766
160,2804
161,3160
162,3442
163,2450
164,2739
165,3012
166,3035
167,3289
168,2509
169,2755
170,2451
171,2679
172,2972
173,2956
174,3153
175,3430
176,3408
177,2509
178,2737
179,2665
180,2867
181,3044
182,2482
183,2587
184,2789
185,2728
186,2894
187,2978
188,2832
189,3004
190,3167
191,3036
192,3173
193,3304
194,2701
195,2873
196,2918
197,2724
198,2822
199,2905
200,2714
201,2732
202,2557
203,2584
204,2585
205,3498
