Time,java.lang.ref.PhantomReference Data
0,159
1,184
2,162
3,178
4,189
5,158
6,184
7,188
8,121
9,174
10,181
11,195
12,178
13,202
14,202
15,192
16,214
17,208
18,178
19,206
20,96
21,163
22,174
23,154
24,166
25,167
26,185
27,207
28,110
29,169
30,181
31,165
32,154
33,156
34,151
35,166
36,160
37,111
38,124
39,157
40,193
41,175
42,159
43,190
44,179
45,183
46,173
47,215
48,112
49,127
50,151
51,153
52,175
53,170
54,151
55,144
56,145
57,150
58,188
59,213
60,189
61,103
62,154
63,169
64,212
65,192
66,151
67,168
68,144
69,175
70,193
71,176
72,168
73,147
74,170
75,177
76,169
77,185
78,183
79,189
80,176
81,237
82,235
83,171
84,153
85,201
86,185
87,186
88,167
89,189
90,196
91,198
92,162
93,159
94,203
95,190
96,179
97,220
98,178
99,207
100,163
101,229
102,155
103,209
104,237
105,204
106,188
107,197
108,175
109,216
110,198
111,141
112,177
113,217
114,201
115,231
116,176
117,208
118,236
119,185
120,158
121,180
122,182
123,186
124,194
125,183
126,179
127,100
128,152
129,148
130,172
131,149
132,170
133,84
134,117
135,166
136,95
137,166
138,157
139,174
140,179
141,181
142,186
143,222
144,190
145,213
146,161
147,177
148,171
149,164
150,168
151,152
152,148
153,144
