Time,java.util.Collections$SynchronizedMap Data
0,247
1,357
2,343
3,355
4,356
5,248
6,372
7,364
8,80
9,280
10,239
11,279
12,249
13,284
14,290
15,272
16,292
17,287
18,174
19,276
20,81
21,269
22,279
23,277
24,284
25,378
26,365
27,157
28,243
29,178
30,182
31,300
32,163
33,249
34,364
35,365
36,364
37,429
38,326
39,243
40,468
41,272
42,340
43,263
44,170
45,309
46,453
47,321
48,462
49,354
50,238
51,372
52,365
53,382
54,358
55,480
56,206
57,266
58,236
59,165
60,367
61,264
62,275
63,299
64,272
65,280
66,248
67,243
68,364
69,405
70,321
71,429
72,540
73,453
74,244
75,371
76,379
77,393
78,493
79,487
80,268
81,364
82,351
83,379
84,388
85,383
86,194
87,428
88,346
89,351
90,356
91,334
92,341
93,344
94,336
95,241
96,556
97,549
98,207
99,283
100,354
101,244
102,407
103,396
104,279
105,257
106,244
107,292
108,278
109,268
110,207
111,274
112,262
113,306
114,359
115,252
116,452
117,332
118,548
119,447
120,308
121,540
122,320
123,426
124,485
125,453
126,570
127,453
128,419
129,444
130,327
131,470
132,576
133,449
134,327
135,335
136,395
137,342
138,385
139,483
140,360
141,487
142,254
143,378
144,424
145,357
146,407
147,349
148,452
149,580
150,441
151,456
152,576
153,438
154,450
155,574
156,425
157,362
158,308
159,422
160,430
161,476
162,575
163,318
164,424
165,482
166,563
167,588
168,361
169,452
170,304
171,413
172,529
173,442
174,543
175,579
176,569
177,405
178,420
179,425
180,438
181,506
182,314
183,412
184,428
185,354
186,439
187,456
188,437
189,539
190,552
191,458
192,553
193,638
194,349
195,357
196,364
197,360
198,358
199,442
200,353
201,349
202,329
203,329
204,337
205,509
