Time,com.google.protobuf.UnknownFieldSet$Field Data
0,222
1,190
2,194
3,224
4,221
5,191
6,167
7,170
8,223
9,220
10,223
11,201
12,186
13,223
14,225
15,237
16,243
17,231
18,225
19,227
20,212
21,222
22,321
23,281
24,285
25,222
26,215
27,163
28,198
29,248
30,226
31,253
32,257
33,188
34,198
35,80
36,226
37,191
38,356
39,261
40,189
41,227
42,386
43,263
44,162
45,166
46,223
47,200
48,225
49,217
50,196
51,145
52,167
53,164
54,411
55,413
56,226
57,195
58,193
59,325
60,371
61,220
62,196
63,226
64,218
65,246
66,218
67,409
68,417
69,333
70,331
71,390
72,168
73,415
74,251
75,444
76,227
77,164
78,226
79,322
80,446
81,255
82,416
83,325
84,164
85,382
86,427
87,194
88,442
89,231
90,429
91,418
92,171
93,257
94,447
95,223
96,257
97,447
98,197
99,227
100,447
101,169
102,199
103,193
104,202
105,390
106,456
107,196
108,262
109,280
110,427
111,188
112,167
113,309
114,255
115,391
116,505
117,453
118,189
119,141
120,223
121,356
122,195
123,227
124,296
125,223
126,285
127,408
128,261
129,388
130,445
131,223
132,229
133,221
134,227
135,146
136,169
137,112
138,486
