Time,[Lorg.hibernate.type.Type; Data
0,845
1,1072
2,996
3,1135
4,1204
5,1120
6,99
7,1307
8,1346
9,1052
10,99
11,1239
12,1279
13,1303
14,1255
15,1429
16,1448
17,1397
18,1562
19,1612
20,1529
21,99
22,1675
23,1158
24,99
25,1224
26,1391
27,1319
28,1484
29,1547
30,1566
31,1484
32,99
33,1548
34,1577
35,99
36,1610
37,1794
38,1146
39,1196
40,1341
41,1415
42,1464
43,1499
44,1426
45,1470
46,99
47,1659
48,1572
49,1677
50,1656
51,1171
52,1204
53,99
54,1396
55,1306
56,1500
57,1525
58,1433
59,99
60,1625
61,1636
62,1686
63,1636
64,1827
65,1287
66,1271
67,1244
68,99
69,1288
70,99
71,1477
72,1393
73,1453
74,1623
75,1621
76,1678
77,1612
78,99
79,1656
80,99
81,1304
82,1203
83,1248
84,99
85,1428
86,1572
87,1532
88,1140
89,99
90,1295
91,1298
92,1410
93,1554
94,1516
95,1411
96,99
97,1553
98,1504
99,99
100,1595
101,1726
102,1659
103,1263
104,1308
105,1272
106,1380
107,1456
108,1395
109,1463
110,1563
111,1612
112,1553
113,99
114,1849
115,1913
116,1283
117,1332
118,1372
119,1286
120,99
121,1553
122,1591
123,1478
124,1488
125,1527
126,99
127,1678
128,1721
129,1673
130,1279
131,1296
132,1247
133,1427
134,1437
135,1390
136,1688
137,1487
138,1798
139,1732
140,1614
141,99
142,1876
143,1409
144,1208
145,1515
146,1431
147,1584
148,1521
149,1529
150,1608
151,1528
152,1720
153,1867
154,1800
155,1422
156,1229
157,1396
158,1389
159,1570
160,1654
161,1561
162,1742
163,1527
164,1720
165,1894
166,1676
167,1435
168,1323
169,1391
170,1578
171,1479
172,1530
173,1718
174,1619
175,1667
176,1854
177,1754
178,1778
179,1149
180,99
181,1329
182,1377
183,1508
184,1632
185,1379
186,99
187,1535
188,1631
189,1673
190,1847
191,1629
192,99
193,1792
194,1147
195,99
196,1326
197,1388
198,1431
199,1610
200,1671
201,1714
202,1489
203,99
204,1649
205,1648
206,1757
207,1905
208,1149
209,99
210,1208
211,1374
212,1308
213,1475
214,1532
215,1561
216,1629
217,1762
218,1719
219,1864
220,1942
221,1228
222,1335
223,1394
224,1369
225,1470
226,1527
227,1497
228,1609
229,1531
230,1582
231,1647
232,1948
