Time,java.util.regex.Pattern$Branch Data
0,341
1,349
2,346
3,348
4,346
5,342
6,349
7,346
8,342
9,349
10,349
11,349
12,346
13,350
14,349
15,348
16,347
17,349
18,346
19,349
20,342
21,347
22,350
23,346
24,350
25,350
26,349
27,343
28,346
29,344
30,343
31,350
32,345
33,347
34,349
35,350
36,350
37,347
38,346
39,346
40,351
41,347
42,347
43,343
44,345
45,343
46,350
47,346
48,353
49,347
50,343
51,350
52,349
53,349
54,346
55,353
56,349
57,348
58,343
59,343
60,350
61,344
62,346
63,350
64,346
65,349
66,344
67,343
68,352
69,344
70,343
71,349
72,353
73,350
74,345
75,347
76,348
77,350
78,353
79,353
80,343
81,346
82,343
83,348
84,347
85,346
86,349
87,347
88,347
89,349
90,350
91,346
92,348
93,349
94,346
95,343
96,356
97,354
98,349
99,350
100,347
101,343
102,354
103,353
104,347
105,347
106,346
107,349
108,349
109,346
110,349
111,349
112,348
113,350
114,349
115,346
116,353
117,346
118,357
119,352
120,343
121,355
122,353
123,348
124,357
125,350
126,356
127,350
128,349
129,350
130,346
131,354
132,356
133,350
134,356
135,343
136,353
137,349
138,353
139,357
140,350
141,354
142,346
143,353
144,357
145,346
146,356
147,347
148,350
149,357
150,350
151,350
152,357
153,350
154,350
155,357
156,350
157,349
158,343
159,350
160,349
161,356
162,360
163,343
164,349
165,353
166,350
167,357
168,346
169,347
170,343
171,350
172,350
173,350
174,356
175,357
176,357
177,346
178,347
179,349
180,350
181,353
182,343
183,348
184,347
185,346
186,350
187,353
188,350
189,353
190,353
191,353
192,356
193,357
194,348
195,350
196,353
197,347
198,350
199,350
200,348
201,350
202,343
203,346
204,348
205,357
