Time,org.hibernate.event.FlushEntityEvent Data
0,168
1,168
2,147
3,168
4,154
5,168
6,145
7,146
8,160
9,168
10,203
11,187
12,199
13,164
14,149
15,178
16,234
17,194
18,200
19,225
20,168
21,224
22,168
23,235
24,230
25,174
26,159
27,226
28,210
29,158
30,250
31,234
32,245
33,141
34,245
35,236
36,186
37,266
38,168
39,168
40,227
41,168
42,198
43,241
44,252
45,158
46,152
47,181
48,159
49,193
50,222
51,271
