Time,[[Ljava.lang.String; Data
0,4771
1,4933
2,5004
3,5088
4,5176
5,5171
6,5347
7,5432
8,5063
9,5238
10,5251
11,5323
12,5486
13,5586
14,5658
15,5660
16,5834
17,5833
18,5911
19,6084
20,5276
21,5451
22,5548
23,5613
24,5713
25,5876
26,5962
27,5870
28,6034
29,6034
30,6076
31,6250
32,5247
33,5331
34,5494
35,5586
36,5666
37,5758
38,5751
39,5835
40,6089
41,6080
42,6087
43,6189
44,5282
45,5364
46,5543
47,5608
48,5709
49,5796
50,5778
51,5954
52,5967
53,6045
54,6200
55,6381
56,5349
57,5427
58,5437
59,5517
60,5697
61,5767
62,5861
63,5949
64,6022
65,6028
66,6101
67,6181
68,5369
69,5440
70,5443
71,5612
72,5707
73,5787
74,5227
75,5305
76,5474
77,5569
78,5663
79,5739
80,5729
81,5825
82,5897
83,6066
84,6158
85,6229
86,5254
87,5406
88,5400
89,5572
90,5656
91,5682
92,5741
93,5908
94,5907
95,5985
96,6252
97,6338
98,5348
99,5431
100,5519
101,5508
102,5769
103,5785
104,5768
105,5941
106,5942
107,6103
108,6116
109,6271
110,5334
111,5424
112,5502
113,5587
114,5676
115,5754
116,5937
117,5922
118,6104
119,6093
120,6095
121,6349
122,5343
123,5418
124,5600
125,5679
126,5768
127,5766
128,5773
129,5928
130,5935
131,6187
132,6272
133,6277
134,5433
135,5427
136,5518
137,5517
138,5691
139,5852
140,5847
141,6030
142,5931
143,6176
144,6217
145,6260
146,5451
147,5355
148,5534
149,5713
150,5708
151,5787
152,5961
153,5954
154,6033
155,6214
156,6194
157,6207
158,5267
159,5436
160,5437
161,5613
162,5788
163,5675
164,5779
165,6025
166,6116
167,6201
168,6109
169,6284
170,5267
171,5359
172,5607
173,5610
174,5702
175,5875
176,5948
177,5857
178,6026
179,6026
180,6199
181,6290
182,5257
183,5426
184,5520
185,5595
186,5691
187,5783
188,5854
189,5945
190,6115
191,6114
192,6203
193,6376
194,5345
195,5441
196,5535
197,5597
198,5693
199,5783
200,5774
201,5885
202,6024
203,6024
204,6108
205,6367
