Time,[Lorg.hibernate.persister.entity.Queryable; Data
0,399
1,499
2,537
3,588
4,639
5,677
6,729
7,778
8,614
9,665
10,715
11,755
12,804
13,856
14,895
15,944
16,995
17,1036
18,1084
19,1135
20,717
21,767
22,819
23,857
24,909
25,959
26,1005
27,1047
28,1097
29,1139
30,1159
31,1209
32,696
33,746
34,788
35,838
36,888
37,937
38,976
39,1026
40,1077
41,1116
42,1166
43,1215
44,715
45,765
46,816
47,855
48,907
49,957
50,995
51,1047
52,1096
53,1136
54,1185
55,1237
56,708
57,756
58,806
59,846
60,898
61,946
62,993
63,1038
64,1086
65,1127
66,1175
67,1216
68,718
69,765
70,806
71,857
72,908
73,948
74,689
75,733
76,780
77,831
78,881
79,921
80,969
81,1020
82,1059
83,1109
84,1160
85,1199
86,693
87,742
88,781
89,832
90,883
91,922
92,971
93,1022
94,1064
95,1111
96,1164
97,1214
98,707
99,757
100,807
101,845
102,897
103,947
104,985
105,1035
106,1085
107,1126
108,1176
109,1225
110,701
111,750
112,799
113,841
114,890
115,939
116,991
117,1029
118,1083
119,1123
120,1169
121,1221
122,705
123,749
124,803
125,850
126,892
127,941
128,990
129,1031
130,1079
131,1131
132,1172
133,1221
134,710
135,755
136,798
137,847
138,898
139,940
140,988
141,1039
142,1076
143,1128
144,1172
145,1216
146,720
147,760
148,808
149,860
150,908
151,948
152,1000
153,1048
154,1088
155,1140
156,1188
157,1227
158,709
159,761
160,800
161,852
162,903
163,939
164,990
165,1041
166,1088
167,1133
168,1179
169,1230
170,709
171,761
172,810
173,851
174,902
175,952
176,993
177,1039
178,1090
179,1130
180,1181
181,1232
182,706
183,756
184,808
185,846
186,898
187,948
188,988
189,1038
190,1088
191,1128
192,1179
193,1230
194,709
195,760
196,810
197,848
198,900
199,950
200,988
201,1040
202,1086
203,1128
204,1178
205,1222
