Time,com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$Adapter Data
0,134
1,345
2,268
3,274
4,341
5,343
6,372
7,364
8,359
9,333
10,360
11,378
12,330
13,357
14,357
15,374
16,382
17,291
18,388
19,378
20,284
21,343
22,359
23,374
24,375
25,380
26,386
27,386
28,380
29,355
30,390
31,359
32,283
33,349
34,456
35,386
36,343
37,268
38,274
39,366
40,355
41,374
42,398
