Time,java.util.Hashtable$EntrySet Data
0,254
1,254
2,244
3,250
4,254
5,255
6,248
7,247
8,245
9,251
10,248
11,258
12,255
13,254
14,258
15,252
16,255
17,256
18,258
19,249
20,255
21,248
22,253
23,259
24,247
25,248
26,247
27,248
28,251
29,252
30,251
31,251
32,252
33,254
34,263
35,249
36,247
37,246
38,247
39,253
40,253
41,254
42,252
43,251
44,255
45,252
46,256
47,246
48,247
49,251
50,246
51,251
52,251
53,254
54,257
55,252
