Time,[Lorg.apache.commons.collections.map.AbstractHashedMap$HashEntry; Data
0,89
1,78
2,353
3,78
4,169
5,78
6,323
7,78
8,300
9,78
10,29
11,374
12,78
13,319
14,78
15,12
16,347
17,78
18,256
19,271
20,89
21,76
22,351
23,78
24,346
25,78
26,79
27,324
28,78
29,310
30,56
31,291
32,78
33,24
34,141
35,78
36,350
37,78
38,170
39,78
40,360
41,78
42,452
43,153
44,409
45,153
46,5
47,81
48,75
49,9
50,63
51,404
52,78
53,75
54,67
55,358
56,78
57,370
58,78
59,361
60,78
61,296
62,78
63,70
64,54
65,428
66,153
67,141
68,78
69,189
70,67
71,96
72,9
73,373
74,78
75,97
76,77
77,436
78,78
79,309
80,78
81,6
82,371
83,78
84,236
85,281
86,126
87,78
88,471
89,153
90,378
91,78
92,274
93,78
94,7
95,21
96,380
97,78
98,88
99,78
100,160
101,78
102,401
103,78
104,256
105,78
106,281
107,4
108,17
109,422
110,78
111,56
112,78
113,27
114,329
115,78
116,537
117,78
118,392
119,78
120,68
121,247
122,288
123,78
124,373
125,78
126,570
127,78
128,455
129,78
130,29
131,194
132,37
133,244
134,78
135,315
136,78
137,153
138,78
139,287
140,315
141,80
142,207
143,325
144,80
145,357
146,80
147,123
148,37
149,195
150,290
151,80
152,206
153,20
154,672
155,155
156,639
157,155
158,361
159,78
160,353
161,78
162,301
163,78
164,18
165,632
166,153
167,537
168,78
169,209
170,126
171,78
172,44
173,336
174,78
175,261
176,109
177,78
178,370
179,78
180,307
181,78
182,109
183,78
184,404
185,78
186,318
187,78
188,119
189,78
190,623
191,153
192,145
193,78
194,725
195,153
196,414
197,78
198,35
199,626
200,153
201,614
202,78
203,152
204,78
205,710
206,153
207,439
208,153
209,698
210,153
211,377
212,78
213,236
214,363
215,78
216,69
217,482
218,153
219,715
220,153
221,380
222,78
223,714
224,153
225,137
226,78
227,465
228,78
229,246
230,556
231,73
232,708
233,153
234,350
235,78
236,670
237,153
238,79
239,441
240,148
241,707
242,103
243,154
244,78
245,724
246,153
247,243
248,392
249,78
250,736
251,153
252,348
253,78
254,392
255,78
256,736
257,153
258,342
259,78
260,374
261,78
262,717
263,153
264,273
265,69
266,285
267,10
268,328
269,78
270,306
271,600
272,78
273,789
274,153
275,17
276,261
277,475
278,153
279,453
280,153
281,714
282,153
283,67
284,297
285,78
286,13
287,274
288,420
289,153
290,382
291,78
292,640
293,78
294,735
295,153
296,743
297,153
298,67
299,281
300,78
301,245
302,362
303,78
304,554
305,78
306,28
307,121
308,78
309,309
310,78
311,170
312,78
313,370
314,78
315,405
316,78
317,350
318,78
319,433
320,78
321,627
322,153
323,443
324,78
325,622
326,78
327,707
328,153
329,297
330,78
331,360
332,78
333,411
334,78
335,287
336,78
337,339
338,78
339,369
340,78
341,218
342,286
343,88
344,78
345,87
346,88
347,776
348,153
