Time,org.postgresql.core.v3.QueryExecutorImpl$ErrorTrackingResultHandler Data
0,325
1,159
2,738
3,325
4,325
5,279
6,664
7,325
8,661
9,325
10,759
11,325
12,665
13,325
14,723
15,325
16,557
17,513
18,263
19,165
20,738
21,325
22,639
23,325
24,631
25,325
26,570
27,576
28,325
29,325
30,235
31,687
32,325
33,325
34,254
35,700
36,325
37,857
38,650
39,783
40,650
41,257
42,145
43,735
44,326
45,634
46,326
47,704
48,329
49,695
50,325
51,606
52,325
53,841
54,650
55,325
56,227
57,331
58,131
59,707
60,325
61,281
62,168
63,798
64,325
65,633
66,326
67,705
68,326
69,450
70,488
71,326
72,216
73,893
74,651
75,715
76,328
77,506
78,326
79,712
80,326
81,326
82,326
83,248
84,729
85,326
86,507
87,325
88,486
89,783
90,326
91,325
92,661
93,325
94,1043
95,326
96,724
97,326
98,487
99,531
100,328
101,706
102,326
103,1114
104,326
105,798
106,326
107,392
108,425
109,325
110,624
111,325
112,326
113,240
114,553
115,624
116,325
117,311
118,601
119,325
120,693
121,325
122,313
123,562
124,325
125,434
126,1295
127,653
128,1291
129,651
130,698
131,325
132,690
133,325
134,625
135,325
136,1185
137,651
138,1015
139,326
140,320
141,325
142,206
143,621
144,325
145,472
146,325
147,200
148,703
149,325
150,584
151,325
152,325
153,200
154,732
155,326
156,594
157,325
158,325
159,210
160,1271
161,650
162,325
163,234
164,1400
165,651
166,813
167,325
168,1180
169,650
170,1192
171,325
172,325
173,239
174,1375
175,650
176,834
177,650
178,1317
179,653
180,708
181,325
182,446
183,696
184,325
185,911
186,650
187,1325
188,651
189,713
190,325
191,1390
192,650
193,325
194,254
195,821
196,325
197,456
198,1091
199,304
200,1371
201,650
202,689
203,325
204,1320
205,650
206,839
207,575
208,1306
209,417
210,325
211,240
212,1400
213,650
214,482
215,723
216,325
217,1411
218,650
219,685
220,325
221,722
222,325
223,1407
224,650
225,679
226,325
227,707
228,325
229,1389
230,650
231,542
232,236
233,498
234,666
235,325
236,565
237,1106
238,326
239,1489
240,651
241,476
242,905
243,650
244,856
245,651
246,1382
247,651
248,608
249,325
250,541
251,824
252,650
253,713
254,325
255,1243
256,325
257,1410
258,651
259,1417
260,651
261,595
262,325
263,411
264,697
265,326
266,1082
267,326
268,325
269,211
270,632
271,325
272,326
273,254
274,704
275,326
276,752
277,326
278,684
279,326
280,791
281,326
282,1239
283,651
284,786
285,326
286,1167
287,326
288,1385
289,651
290,529
291,325
292,696
293,325
294,761
295,326
296,498
297,325
298,675
299,325
300,702
301,325
302,349
303,552
304,325
305,158
306,1444
307,651
