Time,[Ljava.nio.ByteBuffer; Data
0,38
1,100
2,89
3,78
4,85
5,46
6,110
7,102
8,19
9,84
10,72
11,100
12,70
13,107
14,104
15,74
16,109
17,103
18,30
19,75
20,28
21,83
22,110
23,96
24,104
25,143
26,114
27,36
28,54
29,48
30,58
31,126
32,61
33,77
34,135
35,130
36,119
37,118
38,77
39,57
40,159
41,112
42,78
43,77
44,72
45,45
46,160
47,78
48,169
49,121
50,46
51,130
52,88
53,121
54,76
55,159
56,105
57,69
58,31
59,45
60,127
61,62
62,97
63,133
64,77
65,105
66,43
67,40
68,115
69,59
70,55
71,86
72,157
73,142
74,53
75,109
76,108
77,129
78,171
79,180
80,56
81,84
82,66
83,111
84,125
85,105
86,90
87,111
88,93
89,103
90,100
91,97
92,98
93,77
94,69
95,40
96,171
97,166
98,101
99,92
100,85
101,27
102,150
103,159
104,85
105,85
106,37
107,101
108,90
109,57
110,104
111,93
112,65
113,131
114,93
115,51
116,153
117,88
118,177
119,149
120,50
121,159
122,155
123,99
124,171
125,141
126,191
127,114
128,73
129,111
130,71
131,159
132,198
133,128
134,169
135,77
136,174
137,75
138,150
139,191
140,91
141,190
142,66
143,141
144,218
145,93
146,176
147,85
148,137
149,201
150,109
151,138
152,201
153,96
154,114
155,195
156,79
157,107
158,39
159,80
160,105
161,174
162,228
163,32
164,92
165,145
166,145
167,189
168,58
169,89
170,39
171,72
172,141
173,129
174,161
175,226
176,207
177,59
178,80
179,91
180,109
181,147
182,56
183,78
184,98
185,103
186,122
187,151
188,111
189,159
190,167
191,153
192,174
193,196
194,88
195,102
196,122
197,89
198,95
199,108
200,95
201,77
202,56
203,74
204,68
205,228
