Time,[Ljava.sql.SQLException; Data
0,264
1,253
2,240
3,224
4,248
5,241
6,238
7,219
8,245
9,271
10,284
11,256
12,247
13,225
14,245
15,245
16,274
17,241
18,288
19,222
20,267
21,183
22,332
23,257
24,277
25,286
26,298
27,230
28,369
29,256
30,186
31,255
32,439
33,290
34,222
35,216
36,269
37,208
38,157
39,458
40,454
41,272
42,249
43,236
44,420
45,375
46,209
47,256
48,245
49,437
50,485
51,290
52,416
53,450
54,492
55,294
56,480
57,263
58,178
59,244
60,333
61,433
62,257
63,516
64,302
65,195
66,424
67,516
68,261
69,446
70,322
71,492
72,516
73,183
74,267
75,525
76,252
77,270
78,496
79,237
80,246
81,500
82,253
83,206
84,253
85,212
86,459
87,551
88,323
89,283
90,508
91,230
92,278
93,265
94,492
95,521
96,507
97,257
98,430
99,238
100,247
101,306
102,275
103,296
104,424
105,304
106,455
107,522
108,242
109,299
110,248
111,254
112,228
113,543
