Time,sun.util.calendar.Gregorian$Date Data
0,462
1,679
2,665
3,676
4,669
5,468
6,697
7,675
8,146
9,531
10,466
11,500
12,501
13,540
14,538
15,501
16,536
17,541
18,337
19,520
20,139
21,494
22,525
23,504
24,537
25,714
26,690
27,300
28,491
29,307
30,321
31,551
32,311
33,470
34,673
35,692
36,691
37,816
38,635
39,483
40,862
41,502
42,642
43,499
44,322
45,599
46,836
47,642
48,869
49,668
50,458
51,702
52,706
53,723
54,712
55,940
56,370
57,484
58,454
59,308
60,691
61,477
62,505
63,547
64,490
65,510
66,458
67,465
68,701
69,770
70,616
71,835
72,1003
73,854
74,461
75,698
76,705
77,743
78,930
79,927
80,519
81,685
82,677
83,711
84,728
85,719
86,367
87,809
88,637
89,657
90,678
91,653
92,636
93,643
94,645
95,462
96,1051
97,1043
98,378
99,534
100,670
101,470
102,742
103,710
104,504
105,509
106,486
107,534
108,517
109,508
110,373
111,497
112,494
113,556
114,674
115,500
116,856
117,624
118,1044
119,819
120,590
121,1012
122,568
123,806
124,919
125,864
126,1064
127,857
128,806
129,849
130,639
131,885
132,1070
133,855
134,598
135,647
136,724
137,652
138,695
139,920
140,692
141,906
142,490
143,732
144,782
145,666
146,758
147,652
148,857
149,1094
150,853
151,860
152,1086
153,844
154,856
155,1085
156,838
157,676
158,599
159,823
160,826
161,876
162,1099
163,613
164,809
165,937
166,1078
167,1133
168,696
169,875
170,593
171,804
172,994
173,837
174,1047
175,1073
176,1071
177,782
178,805
179,792
180,839
181,937
182,605
183,790
184,817
185,658
186,842
187,851
188,837
189,1022
190,1036
191,872
192,1041
193,1225
194,641
195,681
196,703
197,663
198,687
199,844
200,650
201,678
202,630
203,642
204,636
205,939
