Time,com.sun.xml.bind.v2.util.QNameMap Data
0,4542
1,627
2,149
3,9505
4,627
5,9505
6,627
7,9505
8,627
9,9505
10,627
11,9505
12,627
13,149
14,9505
15,627
16,9505
17,627
18,9503
19,627
20,149
21,81
22,9503
23,627
24,9503
25,627
26,149
27,9503
28,627
29,149
30,9503
31,627
32,149
33,9503
34,627
35,9503
36,627
37,9503
38,627
39,149
40,9503
41,627
42,9503
43,627
44,9503
45,627
46,149
47,81
48,9503
49,627
50,9503
51,627
52,149
53,81
54,9503
55,627
56,149
57,9503
58,627
59,9503
60,627
61,9503
62,627
63,9503
64,627
65,9503
66,627
67,9503
68,627
69,149
70,81
71,9503
72,627
73,149
74,9503
75,627
76,149
77,81
78,9503
79,627
80,149
81,9503
82,627
83,9503
84,627
85,149
86,9503
87,627
88,149
89,9503
90,627
91,9503
92,627
93,9503
94,627
95,9503
96,627
97,9503
98,627
99,149
100,9503
101,627
102,149
103,81
104,9503
105,627
106,9503
107,627
108,9503
109,627
110,149
111,9503
112,627
113,149
114,9503
115,627
116,149
117,9503
118,627
119,149
120,81
121,9503
122,627
123,9503
124,627
125,149
126,9503
127,627
128,9503
129,627
130,9503
131,627
132,149
133,81
134,9503
135,627
136,9503
137,627
138,149
139,9503
140,627
141,149
142,9503
143,627
144,149
145,9503
146,627
147,9503
148,627
149,9503
150,627
151,149
152,9503
153,627
154,149
155,81
156,9503
157,627
158,149
159,81
160,9503
161,627
162,9503
163,627
164,149
165,9503
166,627
167,9503
168,627
169,9503
170,627
171,149
172,9503
173,627
174,9503
175,627
176,149
177,81
178,9503
179,627
180,149
181,81
182,9503
183,627
184,9503
185,627
186,149
187,9503
188,627
189,149
190,9503
191,627
192,9503
193,627
194,9503
195,627
196,9503
197,627
198,149
199,9503
200,627
201,149
202,9503
203,627
204,9503
205,627
206,9503
207,627
208,9503
209,627
210,9503
211,627
212,149
213,81
214,9503
215,627
216,149
217,9503
218,627
219,149
220,9503
221,627
222,9503
223,627
224,9503
225,627
226,9503
227,627
228,149
229,9503
230,627
231,9503
232,627
233,149
234,9503
235,627
236,9503
237,627
238,9503
239,627
240,149
241,9503
242,627
243,149
244,9503
245,627
246,149
247,9503
248,627
249,149
250,9503
251,627
252,149
253,81
254,9503
255,627
256,9503
257,627
258,9503
259,627
260,9503
261,627
262,9503
263,627
264,9503
265,627
266,149
267,81
268,9503
269,627
270,9503
271,627
272,9503
273,627
274,149
275,9503
276,627
277,149
278,9503
279,627
280,149
281,81
282,9503
283,627
284,9503
285,627
286,149
287,9503
288,627
289,149
290,9503
291,627
292,9503
293,627
294,9503
295,627
296,149
297,9503
298,627
299,9503
300,627
301,9503
302,627
303,149
304,9503
305,627
306,9503
307,627
308,9503
309,627
310,9503
311,627
312,9503
313,627
314,149
315,9503
316,627
317,9503
318,627
319,9503
320,627
321,9503
322,627
323,9503
324,627
325,9503
326,627
327,9503
328,627
329,9503
330,627
331,149
332,9503
333,627
334,9503
335,627
336,149
337,9503
338,627
339,9503
340,627
341,9503
342,627
343,9503
344,627
345,9503
346,627
347,149
348,9503
349,627
350,9503
351,627
352,149
353,9503
354,627
355,9503
356,627
357,9503
358,627
359,9503
360,627
361,9503
362,627
363,149
364,9503
365,627
366,9503
367,627
368,9503
369,627
370,9503
371,627
372,9503
373,627
374,149
375,9503
376,627
377,9503
378,627
379,9503
380,627
381,9503
382,627
383,9503
384,627
385,9503
386,627
387,9503
388,627
389,9503
390,627
391,9503
392,627
393,149
394,9503
395,627
396,9503
397,627
398,149
399,81
400,9503
401,627
402,9503
403,627
404,9503
405,627
406,9503
407,627
408,9503
409,627
410,149
411,81
412,9503
413,627
414,149
415,9503
416,627
417,9503
418,627
419,9503
420,627
421,9503
422,627
423,149
424,9503
425,627
426,9503
427,627
428,149
429,81
430,9503
431,627
432,149
433,9503
434,627
435,9503
436,627
437,9503
438,627
439,9503
440,627
441,9503
442,627
443,9503
444,627
445,149
446,9503
447,627
448,9503
449,627
450,149
451,9503
452,627
453,9503
454,627
455,9503
456,627
457,149
458,81
459,9503
460,627
461,149
462,9503
463,627
464,9503
465,627
466,9503
467,627
468,9503
469,627
470,9503
471,627
472,9503
473,627
474,9503
475,627
476,9503
477,627
478,9503
479,627
480,9503
481,627
482,9503
483,627
484,9503
485,627
486,9503
487,627
488,9503
489,627
490,9503
491,627
492,9503
493,627
494,9503
495,627
496,149
497,9503
498,627
499,149
500,9503
501,627
502,149
503,9503
504,627
505,149
506,9503
507,627
508,149
509,9503
510,627
