Time,sun.reflect.generics.factory.CoreReflectionFactory Data
0,6399
1,10380
2,10161
3,10370
4,10380
5,10041
6,10380
7,10380
8,8857
9,9196
10,9077
11,9076
12,8872
13,9206
14,9196
15,8995
16,9206
17,9077
18,8867
19,9196
20,8857
21,9139
22,9206
23,9084
24,9206
25,9325
26,9315
27,8867
28,8872
29,9012
30,8867
31,9206
32,8857
33,8965
34,9196
35,9206
36,9206
37,9206
38,8867
39,8867
40,9473
41,9084
42,9015
43,8988
44,8857
45,8867
46,9304
47,8872
48,9304
49,9206
50,8867
51,9206
52,9077
53,9077
54,8986
55,9325
56,9196
57,9134
58,8867
59,8867
60,9206
61,9124
62,9084
63,9206
64,9196
65,9077
66,8962
67,8867
68,9196
69,9084
70,8867
71,9196
72,9415
73,9206
74,8939
75,9086
76,9135
77,9205
78,9415
79,9205
80,8866
81,9076
82,8866
83,9133
84,9205
85,9083
86,9082
87,9211
88,9020
89,9201
90,9211
91,8877
92,9020
93,9200
94,9082
95,8872
96,9540
97,9550
98,9196
99,9206
100,9206
101,8867
102,9473
103,9356
104,9015
105,8988
106,8867
107,9196
108,9077
109,9084
110,9196
111,9195
112,9084
113,9206
114,9196
115,8986
116,9535
117,9084
118,9545
119,9354
120,8867
121,9473
122,9416
123,9091
124,9545
125,9325
126,9535
127,9206
128,9077
129,9206
130,8867
131,9423
132,9535
133,9206
134,9535
135,8986
136,9304
137,9077
138,9413
139,9431
140,9206
141,9545
142,8867
143,9211
144,9431
145,9084
146,9535
147,9087
148,9206
149,9545
150,9206
151,9206
152,9545
153,9206
154,9206
155,9545
156,9092
157,9077
158,8867
159,9206
160,9077
161,9415
162,9547
163,8867
164,9077
165,9327
166,9325
167,9510
168,8965
169,9155
170,8867
171,9086
172,9423
173,9206
174,9416
175,9643
176,9545
177,8965
178,9206
179,9076
180,9206
181,9415
182,8867
183,9084
184,9206
185,9084
186,9206
187,9304
188,9205
189,9304
190,9535
191,9206
192,9416
193,9545
194,9136
195,9206
196,9206
197,9134
198,9206
199,9206
200,9015
201,9092
202,8986
203,8869
204,9015
205,9545
