Time,[Lorg.hibernate.property.Setter; Data
0,657
1,657
2,657
3,657
4,657
5,657
6,657
7,657
8,657
9,51
10,657
11,657
12,657
13,657
14,657
15,657
16,657
17,657
18,657
19,657
20,657
21,657
22,51
23,657
24,657
25,657
26,657
27,657
28,657
29,657
30,51
31,657
32,657
33,657
34,657
35,657
36,657
37,657
38,657
39,657
40,657
41,657
42,657
43,657
44,657
45,657
46,657
47,657
48,657
49,51
50,657
51,657
52,657
53,657
54,657
55,51
56,657
57,657
58,657
59,657
60,657
61,657
62,657
63,657
64,51
65,657
66,657
67,657
68,657
69,657
70,657
71,657
72,657
73,51
74,657
75,657
76,657
77,657
78,657
79,657
80,657
81,657
82,657
83,657
84,657
85,657
86,657
87,657
88,657
89,657
90,657
91,657
92,657
93,657
94,657
95,657
96,657
97,657
98,657
99,657
100,657
101,657
102,657
103,657
104,657
105,657
106,657
107,657
108,657
109,51
110,657
111,657
112,657
113,657
114,657
115,51
116,657
117,657
118,657
119,657
120,657
121,657
122,657
123,657
124,657
125,657
126,657
127,657
128,657
129,657
130,657
131,657
132,657
133,657
134,657
135,657
136,657
137,657
138,657
139,657
140,657
141,657
142,657
143,657
144,657
145,657
146,657
147,657
148,657
149,657
150,657
151,657
152,657
153,657
154,657
155,657
156,657
157,657
158,657
159,657
160,657
161,657
162,657
163,657
164,657
165,657
166,657
167,657
168,51
169,657
170,657
171,657
172,657
173,657
174,51
175,657
176,657
177,657
178,657
179,657
180,657
181,657
182,51
183,657
184,657
185,657
186,657
187,657
188,657
189,657
190,657
191,657
192,657
193,657
194,657
195,657
196,657
197,657
198,657
199,657
200,657
201,657
202,657
203,657
204,657
205,657
206,657
207,657
208,657
209,657
210,657
211,657
212,657
213,657
214,657
215,657
216,657
217,657
