Time,java.util.IdentityHashMap Data
0,367
1,1191
2,688
3,1092
4,1025
5,104
6,1294
7,1082
8,48
9,1209
10,810
11,810
12,401
13,1194
14,1193
15,327
16,1122
17,1028
18,184
19,929
20,102
21,590
22,1199
23,722
24,1238
25,1658
26,1452
27,368
28,257
29,1429
30,273
31,273
32,1197
33,1287
34,1246
35,988
36,243
37,175
38,1543
39,593
40,510
41,217
42,398
43,1321
44,402
45,1559
46,1069
47,1294
48,680
49,875
50,512
51,1694
52,1333
53,856
54,65
55,1334
56,410
57,674
58,1415
59,787
60,869
61,1492
62,241
63,107
64,1121
65,1687
66,1371
67,278
68,781
69,907
70,1299
71,1894
72,1607
73,123
74,551
75,149
76,775
77,1082
78,642
79,949
80,1083
81,629
82,1073
83,1240
84,525
85,565
86,899
87,603
88,66
89,2265
90,2178
91,1247
92,1204
93,1028
94,57
95,2114
96,1714
97,614
98,503
99,130
100,1136
101,805
102,447
103,1293
104,974
105,451
106,1436
107,1032
108,478
109,2097
110,596
111,2517
112,1446
113,131
114,2084
115,2068
116,635
117,2452
118,1577
119,2367
120,1316
121,678
122,1251
123,241
124,1770
125,2453
126,1334
127,2478
128,622
129,1693
130,719
131,1794
132,2440
133,1193
134,2310
135,278
136,1642
137,2481
138,642
139,2519
140,748
141,1382
142,2572
143,1192
144,1388
145,2572
146,1162
147,1299
148,2488
149,923
150,908
151,1101
152,1016
153,1955
154,2779
155,64
156,817
157,1718
158,1643
159,2449
160,271
161,979
162,881
163,1515
164,1341
165,2157
166,2584
167,2581
168,271
169,920
170,710
171,1247
172,1777
173,104
174,499
175,1068
176,722
177,1285
178,1461
179,1202
180,1556
181,2127
182,1554
183,2051
184,2432
185,947
186,1238
187,1408
188,925
189,1158
190,1284
191,640
192,955
193,364
194,355
195,336
196,2749
