Time,org.apache.hadoop.hdfs.protocol.proto.HdfsProtos$LocatedBlockProto Data
0,105
1,84
2,84
3,116
4,107
5,90
6,69
7,91
8,106
9,111
10,110
11,106
12,76
13,68
14,108
15,82
16,110
17,126
18,119
19,128
20,119
21,115
22,98
23,102
24,151
25,76
26,147
27,154
28,104
29,103
30,67
31,103
32,124
33,119
34,136
35,78
36,145
37,79
38,106
39,121
40,84
41,165
42,144
43,85
44,84
45,119
46,179
47,155
48,65
49,76
50,108
51,77
52,99
53,109
54,73
55,107
56,93
57,70
58,78
59,67
60,197
61,188
62,113
63,91
64,84
65,166
66,182
67,71
68,111
69,96
70,117
71,102
72,133
73,104
74,184
75,74
76,206
77,155
78,167
79,194
80,80
81,201
82,126
83,225
84,121
85,70
86,115
87,162
88,232
89,136
90,204
91,183
92,72
93,177
94,216
95,89
96,217
97,126
98,233
99,78
100,207
101,80
102,141
103,230
104,106
105,143
106,230
107,89
108,119
109,226
110,73
111,106
112,82
113,107
114,196
115,238
116,96
117,132
118,150
119,216
120,85
121,73
122,149
123,138
124,187
125,257
126,234
127,77
128,85
129,112
130,165
131,86
132,82
133,115
134,147
135,108
136,154
137,189
138,150
139,192
140,217
141,76
142,110
143,118
144,78
145,103
146,115
147,76
148,79
149,263
