Time,java.lang.Integer Data
0,184549
1,235767
2,244058
3,267380
4,282620
5,284663
6,321163
7,334834
8,254830
9,293933
10,309010
11,322647
12,337524
13,364836
14,379660
15,388181
16,412784
17,430056
18,434807
19,465026
20,294345
21,326891
22,352291
23,360409
24,389579
25,413871
26,425408
27,418369
28,445511
29,453720
30,464204
31,498403
32,293823
33,314626
34,341743
35,362010
36,379566
37,395693
38,398643
39,413355
40,455948
41,455137
42,474111
43,484346
44,301723
45,318738
46,357303
47,359384
48,395787
49,401508
50,401302
51,439318
52,451557
53,468344
54,481452
55,519147
56,309701
57,323975
58,331893
59,345817
60,385283
61,391101
62,410439
63,436226
64,443222
65,461904
66,468397
67,484424
68,322220
69,324084
70,335718
71,370219
72,397266
73,407146
74,293681
75,317294
76,337251
77,361528
78,392800
79,402137
80,393547
81,425975
82,430101
83,457545
84,477297
85,489960
86,305444
87,325437
88,334077
89,357363
90,378480
91,385642
92,404113
93,425270
94,437633
95,445120
96,499930
97,520066
98,309257
99,329608
100,349343
101,346661
102,395302
103,407023
104,406779
105,425091
106,435249
107,465605
108,480411
109,493865
110,310677
111,324559
112,337304
113,363126
114,379172
115,388220
116,431142
117,425609
118,472525
119,471796
120,469434
121,518525
122,319817
123,325254
124,367635
125,372531
126,401910
127,403849
128,415074
129,436451
130,440724
131,481163
132,504918
133,507497
134,328688
135,325673
136,355474
137,359441
138,391537
139,419393
140,417062
141,451311
142,434316
143,476809
144,502652
145,495283
146,338240
147,326388
148,355379
149,392580
150,390397
151,406910
152,443559
153,441107
154,457705
155,495824
156,491588
157,505197
158,299056
159,334641
160,349137
161,380140
162,412996
163,383736
164,419643
165,448117
166,464259
167,496648
168,477976
169,504561
170,298785
171,335265
172,359846
173,371224
174,403874
175,427247
176,444860
177,427642
178,451660
179,465550
180,491014
181,516320
182,298320
183,326231
184,355483
185,359048
186,387489
187,410892
188,420123
189,446778
190,469572
191,474986
192,505377
193,529838
194,310482
195,337457
196,353461
197,362076
198,385328
199,406636
200,411298
201,433995
202,441524
203,459454
204,478005
205,525837
