Time,[[C Data
0,143
1,165
2,166
3,166
4,167
5,165
6,167
7,168
8,165
9,168
10,166
11,166
12,168
13,168
14,168
15,166
16,168
17,166
18,166
19,168
20,146
21,149
22,149
23,149
24,149
25,151
26,150
27,147
28,149
29,147
30,148
31,149
32,146
33,147
34,149
35,149
36,149
37,148
38,147
39,147
40,150
41,149
42,147
43,149
44,146
45,147
46,149
47,149
48,149
49,149
50,147
51,149
52,147
53,147
54,149
55,151
56,148
57,149
58,147
59,147
60,149
61,149
62,148
63,149
64,149
65,147
66,146
67,147
68,148
69,148
70,147
71,149
72,148
73,149
74,146
75,147
76,149
77,149
78,149
79,149
80,147
81,147
82,147
83,149
84,149
85,149
86,147
87,149
88,147
89,149
90,149
91,148
92,147
93,149
94,147
95,147
96,151
97,151
98,148
99,149
100,149
101,147
102,151
103,149
104,147
105,149
106,147
107,149
108,147
109,149
110,148
111,149
112,149
113,149
114,149
115,149
116,150
117,149
118,151
119,149
120,147
121,151
122,149
123,149
124,151
125,151
126,151
127,149
128,147
129,149
130,147
131,151
132,151
133,149
134,150
135,148
136,149
137,147
138,148
139,151
140,149
141,150
142,147
143,151
144,151
145,149
146,150
147,148
148,149
149,151
150,149
151,149
152,151
153,149
154,149
155,151
156,149
157,147
158,146
159,149
160,147
161,149
162,151
163,147
164,147
165,151
166,150
167,151
168,147
169,148
170,147
171,147
172,150
173,149
174,149
175,150
176,151
177,147
178,148
179,147
180,149
181,149
182,147
183,149
184,149
185,149
186,149
187,149
188,149
189,149
190,151
191,149
192,149
193,151
194,149
195,149
196,149
197,149
198,149
199,149
200,147
201,148
202,148
203,147
204,147
205,151
