Time,org.apache.hadoop.io.retry.RetryPolicies$RetryUpToMaximumCountWithFixedSleep Data
0,199
1,200
2,205
3,235
4,244
5,194
6,236
7,237
8,252
9,246
10,246
11,247
12,260
13,236
14,203
15,259
16,255
17,206
18,239
19,276
