Time,[Lcom.sun.org.apache.xalan.internal.utils.XMLSecurityManager$State; Data
0,79
1,121
2,102
3,108
4,114
5,68
6,136
7,124
8,57
9,126
10,93
11,115
12,80
13,127
14,130
15,98
16,133
17,121
18,73
19,105
20,66
21,110
22,130
23,128
24,133
25,175
26,142
27,62
28,88
29,64
30,98
31,157
32,76
33,88
34,136
35,139
36,135
37,112
38,83
39,70
40,163
41,116
42,91
43,91
44,91
45,67
46,160
47,80
48,166
49,124
50,64
51,141
52,90
53,115
54,88
55,169
56,138
57,109
58,64
59,71
60,146
61,100
62,119
63,158
64,108
65,118
66,58
67,71
68,141
69,79
70,77
71,117
72,156
73,155
74,81
75,106
76,116
77,142
78,162
79,167
80,67
81,87
82,77
83,111
84,127
85,119
86,111
87,133
88,116
89,127
90,135
91,116
92,105
93,111
94,81
95,73
96,195
97,189
98,129
99,129
100,120
101,67
102,190
103,170
104,110
105,102
106,64
107,130
108,106
109,94
110,135
111,118
112,97
113,160
114,121
115,97
116,165
117,116
118,210
119,161
120,80
121,187
122,185
123,120
124,204
125,157
126,208
127,148
128,93
129,139
130,80
131,178
132,217
133,146
134,200
135,104
136,182
137,96
138,150
139,199
140,126
141,196
142,86
143,169
144,235
145,122
146,203
147,111
148,152
149,220
150,127
151,155
152,220
153,126
154,145
155,214
156,105
157,118
158,65
159,117
160,121
161,184
162,238
163,70
164,106
165,172
166,167
167,199
168,85
169,106
170,65
171,102
172,151
173,149
174,177
175,229
176,223
177,85
178,108
179,107
180,136
181,165
182,74
183,103
184,123
185,128
186,139
187,160
188,130
189,166
190,183
191,164
192,183
193,202
194,125
195,136
196,145
197,128
198,127
199,142
200,114
201,117
202,92
203,101
204,92
205,242
