Time,org.apache.hadoop.fs.FileStatus Data
0,175
1,92
2,161
3,163
4,175
5,175
6,163
7,142
8,121
9,175
10,175
11,82
12,175
13,156
14,161
15,93
16,175
17,81
18,177
19,183
20,196
21,58
22,177
23,52
24,175
25,177
26,172
27,177
28,256
29,103
30,58
31,221
32,221
33,175
34,174
35,140
36,154
37,193
38,177
39,79
40,189
41,79
42,79
43,191
44,161
45,154
46,69
47,177
48,73
49,163
50,284
51,191
52,157
53,112
54,183
55,323
56,197
57,146
58,123
59,181
60,85
61,156
62,177
63,72
64,175
65,163
66,96
67,161
68,142
69,338
70,340
71,177
72,163
73,163
74,256
75,306
76,72
77,87
78,175
79,154
80,67
81,177
82,175
83,73
84,186
85,175
86,340
87,81
88,340
89,259
90,256
91,319
92,117
93,340
94,198
95,352
96,177
97,140
98,177
99,244
100,352
101,189
102,340
103,237
104,140
105,317
106,333
107,163
108,352
109,177
110,333
111,79
112,340
113,142
114,189
115,352
116,175
117,189
118,352
119,163
120,177
121,354
122,142
123,154
124,163
125,156
126,298
127,354
128,154
129,198
130,210
131,333
132,44
133,154
134,142
135,244
136,189
137,319
138,398
139,354
140,44
141,163
142,97
143,175
144,284
145,73
146,163
147,79
148,177
149,229
150,177
151,221
152,338
153,191
154,317
155,352
156,100
157,177
158,177
159,93
160,177
161,177
162,96
163,142
164,82
165,366
