Time,com.sun.org.apache.xerces.internal.xinclude.XIncludeMessageFormatter Data
0,272
1,296
2,312
3,268
4,336
5,360
6,312
7,287
8,356
9,320
10,344
11,344
12,336
13,376
14,360
15,367
16,256
17,408
