Time,java.lang.Thread Data
0,34
1,41
2,32
3,39
4,39
5,39
6,38
7,32
8,36
9,41
10,39
11,39
12,34
13,41
14,38
15,39
16,43
17,43
18,35
19,38
20,41
21,38
22,41
23,43
24,37
25,37
26,41
27,39
28,38
29,40
30,38
31,36
32,39
33,39
34,38
35,43
36,39
37,35
38,36
39,37
40,41
41,43
42,43
43,38
44,41
45,38
46,39
47,37
48,41
49,38
50,38
51,41
52,36
53,38
54,37
55,41
56,37
57,38
58,40
