Time,<constMethodKlass> Data
0,268583
1,356249
2,356270
3,356270
4,356270
5,356270
6,356270
7,356270
8,269720
9,269720
10,269726
11,269726
12,269726
13,269726
14,269726
15,269726
16,269726
17,269726
18,269726
19,269732
20,269648
21,271305
22,271305
23,271305
24,271305
25,271305
26,271305
27,271305
28,271305
29,271305
30,271394
31,271394
32,271394
33,271394
34,271394
35,271410
36,271410
37,271410
38,271410
39,271410
40,271410
41,271410
42,271410
43,271410
44,271410
45,271410
46,271410
47,271410
48,271410
49,271410
50,271410
51,271410
52,271410
53,271410
54,271412
55,271412
56,271412
57,271412
58,271412
59,271412
60,271412
61,271412
62,271412
63,271412
64,271412
65,271412
66,271412
67,271412
68,271412
69,271412
70,271412
71,271412
72,271412
73,271412
74,271412
75,271412
76,271412
77,271412
78,271412
79,271412
80,271412
81,271412
82,271412
83,271412
84,271412
85,271412
86,271412
87,271412
88,271412
89,271412
90,271412
91,271412
92,271412
93,271412
94,271412
95,271412
96,271412
97,271412
98,271412
99,271412
100,271412
101,271412
102,271412
103,271412
104,271412
105,271412
106,271412
107,271412
108,271412
109,271412
110,271412
111,271412
112,271412
113,271412
114,271412
115,271412
116,271412
117,271412
118,271412
119,271412
120,271412
121,271412
122,271412
123,271412
124,271412
125,271412
126,271412
127,271412
128,271412
129,271412
130,271412
131,271412
132,271412
133,271412
134,271412
135,271412
136,271412
137,271412
138,271412
139,271412
140,271412
141,271412
142,271412
143,271412
144,271412
145,271412
146,271412
147,271412
148,271412
149,271412
150,271412
151,271412
152,271412
153,271412
154,271412
155,271412
156,271412
157,271412
158,271412
159,271412
160,271412
161,271412
162,271412
163,271412
164,271412
165,271412
166,271412
167,271412
168,271412
169,271412
170,271412
171,271412
172,271412
173,271412
174,271412
175,271412
176,271412
177,271412
178,271412
179,271412
180,271412
181,271412
182,271412
183,271412
184,271412
185,271412
186,271412
187,271412
188,271412
189,271412
190,271412
191,271412
192,271412
193,271412
194,271420
195,271420
196,271420
197,271420
198,271420
199,271420
200,271420
201,271420
202,271420
203,271420
204,271420
205,271423
