Time,sun.misc.Cleaner Data
0,206
1,322
2,293
3,307
4,304
5,244
6,350
7,339
8,51
9,263
10,238
11,281
12,223
13,293
14,296
15,232
16,304
17,290
18,204
19,253
20,109
21,313
22,353
23,321
24,365
25,395
26,371
27,236
28,257
29,255
30,244
31,406
32,180
33,313
34,433
35,413
36,398
37,418
38,324
39,298
40,447
41,365
42,323
43,319
44,168
45,267
46,423
47,316
48,436
49,394
50,262
51,405
52,334
53,380
54,294
55,432
56,271
57,335
58,283
59,324
60,444
61,323
62,364
63,473
64,368
65,402
66,287
67,321
68,308
69,346
70,373
71,417
72,516
73,508
74,216
75,456
76,445
77,492
78,548
79,538
80,353
81,401
82,394
83,441
84,481
85,433
86,183
87,374
88,320
89,357
90,360
91,305
92,328
93,323
94,333
95,266
96,463
97,474
98,184
99,337
100,326
101,244
102,432
103,422
104,300
105,295
106,234
107,372
108,347
109,282
110,196
111,359
112,304
113,399
114,360
115,265
116,465
117,344
118,494
119,442
120,300
121,451
122,378
123,450
124,577
125,500
126,594
127,498
128,420
129,491
130,383
131,545
132,600
133,501
134,330
135,364
136,505
137,356
138,487
139,550
140,391
141,562
142,336
143,463
144,585
145,374
146,432
147,491
148,564
149,667
150,532
151,577
152,667
153,517
154,559
155,661
156,485
157,522
158,409
159,513
160,529
161,637
162,704
163,430
164,508
165,586
166,600
167,671
168,451
169,503
170,321
171,389
172,491
173,514
174,532
175,618
176,596
177,355
178,415
179,419
180,470
181,501
182,387
183,431
184,491
185,473
186,529
187,552
188,518
189,556
190,597
191,575
192,584
193,635
194,447
195,515
196,524
197,457
198,510
199,525
200,452
201,459
202,435
203,435
204,424
205,716
