Time,java.lang.reflect.Constructor Data
0,13508
1,15146
2,14773
3,15052
4,15099
5,14387
6,15189
7,15149
8,11959
9,12744
10,12477
11,12500
12,12143
13,12798
14,12777
15,12355
16,12804
17,12595
18,12009
19,12672
20,11284
21,11915
22,12121
23,11876
24,12141
25,12442
26,12310
27,11297
28,11457
29,11537
30,11401
31,12209
32,11376
33,11553
34,12138
35,12170
36,12123
37,12073
38,11397
39,11321
40,12668
41,11880
42,11648
43,11524
44,11414
45,11288
46,12377
47,11467
48,12396
49,12092
50,11290
51,12148
52,11760
53,11867
54,11548
55,12441
56,12149
57,11872
58,11290
59,11337
60,12196
61,11833
62,11835
63,12238
64,11985
65,11878
66,11441
67,11344
68,12165
69,11677
70,11364
71,12032
72,12526
73,12241
74,11483
75,11844
76,11930
77,12162
78,12610
79,12281
80,11304
81,11744
82,11366
83,11957
84,12102
85,11839
86,11888
87,12121
88,11732
89,12067
90,12093
91,11542
92,11744
93,11958
94,11719
95,11305
96,12875
97,12891
98,12122
99,12085
100,12051
101,11295
102,12741
103,12588
104,11724
105,11731
106,11296
107,12082
108,11835
109,11716
110,12135
111,12047
112,11749
113,12214
114,12056
115,11581
116,12789
117,11836
118,12953
119,12512
120,11370
121,12740
122,12694
123,11902
124,12933
125,12382
126,12954
127,12171
128,11763
129,12146
130,11376
131,12625
132,12979
133,12190
134,12930
135,11653
136,12485
137,11770
138,12539
139,12889
140,12078
141,12931
142,11390
143,12324
144,12920
145,11842
146,12942
147,11843
148,12208
149,13014
150,12103
151,12217
152,13009
153,12078
154,12162
155,13004
156,11898
157,11874
158,11312
159,12050
160,11900
161,12653
162,13117
163,11306
164,11837
165,12473
166,12436
167,12923
168,11515
169,11941
170,11311
171,11821
172,12511
173,12196
174,12674
175,13218
176,13038
177,11513
178,12014
179,11761
180,12125
181,12556
182,11321
183,11765
184,12057
185,11858
186,12147
187,12392
188,12123
189,12393
190,12839
191,12263
192,12663
193,12966
194,11936
195,12129
196,12167
197,11945
198,12107
199,12150
200,11768
201,11875
202,11565
203,11456
204,11670
205,13114
