Time,java.util.Hashtable Data
0,2312
1,2976
2,3023
3,3067
4,3125
5,2993
6,3242
7,3291
8,2746
9,3005
10,2904
11,2969
12,3159
13,3234
14,3282
15,3170
16,3386
17,3281
18,3298
19,3531
20,2828
21,3084
22,3150
23,3194
24,3255
25,3490
26,3521
27,3209
28,3430
29,3322
30,3351
31,3603
32,2830
33,2911
34,3144
35,3199
36,3239
37,3289
38,3167
39,3213
40,3634
41,3497
42,3386
43,3465
44,2860
45,2908
46,3190
47,3186
48,3301
49,3317
50,3168
51,3426
52,3309
53,3372
54,3565
55,3821
56,3014
57,3065
58,2938
59,2994
60,3251
61,3274
62,3352
63,3410
64,3428
65,3342
66,3358
67,3396
68,3037
69,3066
70,2952
71,3186
72,3280
73,3319
74,2818
75,2906
76,3127
77,3186
78,3264
79,3327
80,3146
81,3212
82,3249
83,3488
84,3542
85,3592
86,2854
87,3064
88,2960
89,3168
90,3223
91,3187
92,3172
93,3368
94,3255
95,3289
96,3731
97,3775
98,3009
99,3075
100,3124
101,2983
102,3429
103,3326
104,3179
105,3383
106,3257
107,3491
108,3387
109,3582
110,3003
111,3065
112,3106
113,3190
114,3226
115,3266
116,3520
117,3381
118,3638
119,3512
120,3352
121,3786
122,3034
123,3074
124,3323
125,3368
126,3439
127,3292
128,3172
129,3390
130,3278
131,3684
132,3753
133,3609
134,3205
135,3064
136,3173
137,3013
138,3261
139,3486
140,3333
141,3593
142,3266
143,3666
144,3663
145,3592
146,3221
147,2913
148,3153
149,3408
150,3245
151,3310
152,3554
153,3396
154,3450
155,3710
156,3516
157,3451
158,2825
159,3065
160,2974
161,3230
162,3476
163,3090
164,3180
165,3581
166,3627
167,3701
168,3376
169,3592
170,2827
171,2910
172,3312
173,3191
174,3269
175,3523
176,3556
177,3224
178,3432
179,3340
180,3554
181,3637
182,2843
183,3073
184,3133
185,3195
186,3257
187,3335
188,3353
189,3439
190,3646
191,3532
192,3598
193,3815
194,3020
195,3076
196,3154
197,3178
198,3231
199,3295
200,3190
201,3272
202,3420
203,3330
204,3378
205,3820
