Time,[Lcom.sun.xml.ws.client.sei.ResponseBuilder$DocLit$PartBuilder; Data
0,1570
1,3297
2,3297
3,3297
4,3297
5,3297
6,3297
7,3297
8,3297
9,3297
10,3297
11,3297
12,3297
13,3297
14,3297
15,3297
16,3297
17,3297
18,3297
19,3297
20,3297
21,3297
22,3297
23,3297
24,3297
25,3297
26,3297
27,3297
28,3297
29,3297
30,3297
31,3297
32,3297
33,3297
34,3297
35,3297
36,3297
37,3297
38,3297
39,3297
40,3297
41,3297
42,3297
43,3297
44,3297
45,3297
46,3297
47,3297
48,3297
49,3297
50,3297
51,3297
52,3297
53,3297
54,3297
55,3297
56,3297
57,3297
58,3297
59,3297
60,3297
61,3297
62,3297
63,3297
64,3297
65,3297
66,3297
67,3297
68,3297
69,3297
70,3297
71,3297
72,3297
73,3297
74,3297
75,3297
76,3297
77,3297
78,3297
79,3297
80,3297
81,3297
82,3297
83,3297
84,3297
85,3297
86,3297
87,3297
88,3297
89,3297
90,3297
91,3297
92,3297
93,3297
94,3297
95,3297
96,3297
97,3297
98,3297
99,3297
100,3297
101,3297
102,3297
103,3297
104,3297
105,3297
106,3297
107,3297
108,3297
109,3297
110,3297
111,3297
112,3297
113,3297
114,3297
115,3297
116,3297
117,3297
118,3297
119,3297
120,3297
121,3297
122,3297
123,3297
124,3297
125,3297
126,3297
127,3297
128,3297
129,3297
130,3297
131,3297
132,3297
133,3297
134,3297
135,3297
136,3297
137,3297
138,3297
139,3297
140,3297
141,3297
142,3297
143,3297
144,3297
145,3297
146,3297
147,3297
148,3297
149,3297
150,3297
151,3297
152,3297
153,3297
154,3297
155,3297
156,3297
157,3297
158,3297
159,3297
160,3297
161,3297
162,3297
163,3297
164,3297
165,3297
166,3297
167,3297
168,3297
169,3297
170,3297
171,3297
172,3297
173,3297
174,3297
175,3297
176,3297
177,3297
178,3297
179,3297
180,3297
181,3297
182,3297
183,3297
184,3297
185,3297
186,3297
187,3297
188,3297
189,3297
190,3297
191,3297
192,3297
193,3297
194,3297
195,3297
196,3297
197,3297
198,3297
199,3297
200,3297
201,3297
202,3297
203,3297
204,3297
205,3297
