Time,sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry Data
0,42
1,68
2,69
3,88
4,72
5,69
6,60
7,68
8,84
9,76
10,69
11,69
12,72
13,84
14,80
15,112
16,104
17,44
18,116
19,36
20,97
21,92
22,80
23,66
24,128
25,68
26,48
27,104
28,116
29,64
30,96
31,60
32,115
33,100
34,60
35,100
36,48
37,76
38,123
39,64
40,104
41,59
42,104
43,120
44,76
45,99
46,108
47,140
48,72
49,72
50,76
51,56
52,80
53,68
54,76
55,76
56,64
57,52
58,148
59,136
60,88
61,72
62,156
63,120
64,64
65,84
66,96
67,68
68,120
69,72
70,124
71,68
72,164
73,116
74,152
75,140
76,80
77,156
78,120
79,176
80,104
81,89
82,132
83,188
84,100
85,164
86,72
87,147
88,108
89,152
90,68
91,156
92,112
93,184
94,76
95,168
96,108
97,180
98,68
99,112
100,180
101,68
102,100
103,176
104,64
105,65
106,140
107,196
108,128
109,132
110,152
111,116
112,104
113,124
114,188
115,191
116,56
117,80
118,108
119,49
120,62
121,84
122,90
123,108
124,84
125,116
126,136
127,132
128,132
129,156
130,80
131,83
132,94
133,84
134,72
135,92
136,64
137,212
