Time,com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute Data
0,1096
1,1688
2,1776
3,1392
4,1440
5,488
6,2168
7,1784
8,192
9,1736
10,600
11,1520
12,776
13,1688
14,2072
15,1032
16,1880
17,1760
18,480
19,1104
20,480
21,1680
22,1784
23,2104
24,2016
25,2744
26,2528
27,104
28,480
29,448
30,1200
31,2840
32,968
33,712
34,2368
35,2264
36,1968
37,1656
38,968
39,304
40,3072
41,1712
42,832
43,744
44,1256
45,256
46,2552
47,776
48,2840
49,1592
50,192
51,2352
52,552
53,1520
54,1032
55,2800
56,2456
57,1480
58,192
59,392
60,2464
61,1192
62,1904
63,3024
64,1200
65,1616
66,96
67,488
68,2552
69,760
70,760
71,1472
72,2528
73,2944
74,672
75,1136
76,1872
77,2448
78,2624
79,3424
80,384
81,552
82,840
83,1784
84,1784
85,1904
86,1424
87,1976
88,1704
89,1880
90,1872
91,1640
92,1328
93,1200
94,464
95,384
96,3560
97,3272
98,2168
99,1776
100,1416
101,288
102,3744
103,2912
104,1608
105,1072
106,192
107,2072
108,1232
109,920
110,2360
111,1688
112,1032
113,2936
114,1784
115,888
116,2992
117,1720
118,3944
119,2816
120,872
121,3648
122,3392
123,1976
124,3752
125,2912
126,4240
127,2552
128,648
129,2216
130,872
131,3200
132,4528
133,2464
134,3944
135,1808
136,3608
137,744
138,2624
139,3688
140,1680
141,3760
142,1040
143,2744
144,4456
145,1904
146,4040
147,1088
148,2656
149,4336
150,1688
151,2752
152,4336
153,1680
154,2456
155,4240
156,840
157,1616
158,200
159,1384
160,1672
161,3400
162,4720
163,384
164,1232
165,3104
166,3208
167,3688
168,576
169,1400
170,200
171,936
172,2816
173,2560
174,3048
175,4528
176,4608
177,576
178,1200
179,1416
180,1976
181,2616
182,488
183,1248
184,1560
185,2096
186,2232
187,2648
188,2072
189,2840
190,3272
191,3232
192,3200
193,3760
194,1968
195,2056
196,2336
197,2064
198,1784
199,2264
200,1616
201,1128
202,1040
203,1064
204,744
205,5112
