Time,org.hibernate.sql.QueryJoinFragment Data
0,214
1,284
2,299
3,339
4,374
5,389
6,437
7,471
8,361
9,409
10,437
11,461
12,497
13,542
14,570
15,593
16,639
17,661
18,690
19,734
20,432
21,475
22,515
23,538
24,578
25,621
26,654
27,663
28,700
29,727
30,741
31,788
32,418
33,454
34,490
35,529
36,564
37,598
38,614
39,649
40,704
41,720
42,748
43,789
44,433
45,467
46,515
47,534
48,579
49,613
50,628
51,676
52,700
53,728
54,769
55,817
56,438
57,468
58,495
59,523
60,571
61,601
62,635
63,669
64,699
65,721
66,754
67,782
68,446
69,474
70,495
71,543
72,579
73,606
74,413
75,446
76,483
77,523
78,563
79,586
80,608
81,645
82,671
83,714
84,753
85,777
86,420
87,461
88,478
89,521
90,560
91,576
92,611
93,654
94,679
95,708
96,765
97,803
98,438
99,473
100,508
101,523
102,579
103,606
104,622
105,664
106,691
107,732
108,760
109,797
110,432
111,463
112,497
113,530
114,561
115,595
116,647
117,658
118,711
119,727
120,748
121,804
122,438
123,462
124,515
125,544
126,574
127,600
128,624
129,663
130,685
131,741
132,770
133,796
134,451
135,471
136,502
137,525
138,576
139,611
140,634
141,681
142,684
143,733
144,767
145,790
146,458
147,466
148,508
149,556
150,578
151,606
152,654
153,676
154,704
155,752
156,767
157,795
158,426
159,474
160,495
161,539
162,586
163,587
164,628
165,678
166,711
167,746
168,756
169,802
170,426
171,467
172,516
173,537
174,578
175,620
176,648
177,658
178,704
179,721
180,768
181,805
182,425
183,468
184,508
185,531
186,571
187,607
188,634
189,670
190,716
191,732
192,769
193,815
194,434
195,474
196,509
197,532
198,572
199,607
200,623
201,663
202,698
203,721
204,756
205,809
