Time,java.util.concurrent.atomic.AtomicLong Data
0,275
1,1161
2,846
3,886
4,954
5,446
6,1211
7,1160
8,148
9,861
10,752
11,956
12,456
13,1162
14,1069
15,618
16,1160
17,1019
18,189
19,808
20,193
21,699
22,1163
23,788
24,1136
25,1298
26,1160
27,297
28,253
29,379
30,409
31,1236
32,425
33,448
34,1229
35,1195
36,1086
37,1128
38,455
39,240
40,1464
41,895
42,505
43,458
44,474
45,189
46,1413
47,478
48,1463
49,1135
50,190
51,1135
52,737
53,1031
54,322
55,1321
56,1160
57,640
58,202
59,404
60,1379
61,515
62,778
63,1397
64,835
65,1046
66,321
67,374
68,1179
69,434
70,421
71,859
72,1660
73,1435
74,409
75,1064
76,904
77,1226
78,1761
79,1547
80,260
81,752
82,465
83,1006
84,1200
85,787
86,1018
87,1156
88,744
89,1063
90,972
91,618
92,907
93,768
94,737
95,245
96,1864
97,1881
98,1151
99,966
100,917
101,204
102,1558
103,1753
104,740
105,819
106,217
107,1065
108,966
109,477
110,1157
111,1016
112,573
113,1330
114,1021
115,293
116,1764
117,768
118,1945
119,1604
120,420
121,1686
122,1786
123,915
124,1901
125,1291
126,2079
127,1186
128,753
129,1174
130,449
131,1631
132,2126
133,1382
134,1922
135,632
136,1699
137,755
138,1651
139,2130
140,963
141,2127
142,477
143,1261
144,2173
145,780
146,1961
147,863
148,1422
149,2187
150,1160
151,1425
152,2187
153,966
154,1182
155,2154
156,827
157,1049
158,360
159,913
160,1047
161,1859
162,2322
163,209
164,965
165,1429
166,1515
167,2131
168,427
169,947
170,362
171,759
172,1437
173,1381
174,1767
175,2398
176,2232
177,429
178,873
179,839
180,1169
181,1600
182,380
183,591
184,930
185,794
186,1190
187,1413
188,1080
189,1454
190,1786
191,1460
192,1786
193,2116
194,828
195,1135
196,1227
197,831
198,1089
199,1177
200,915
201,835
202,505
203,549
204,607
205,2477
