Time,org.springframework.beans.factory.annotation.InjectionMetadata Data
0,126
1,126
2,90
3,126
4,126
5,126
6,90
7,126
8,126
9,126
10,90
11,126
12,90
13,126
14,90
15,126
16,126
17,126
18,126
19,126
20,126
21,126
22,126
23,126
24,126
25,126
26,126
