Time,sun.reflect.generics.scope.ClassScope Data
0,2225
1,3744
2,3563
3,3735
4,3744
5,3511
6,3744
7,3744
8,3451
9,3684
10,3633
11,3632
12,3460
13,3693
14,3684
15,3586
16,3693
17,3633
18,3460
19,3684
20,3451
21,3662
22,3693
23,3607
24,3693
25,3744
26,3735
27,3460
28,3460
29,3606
30,3460
31,3693
32,3451
33,3556
34,3684
35,3693
36,3693
37,3693
38,3460
39,3460
40,3890
41,3607
42,3606
43,3511
44,3451
45,3460
46,3789
47,3460
48,3789
49,3693
50,3460
51,3693
52,3633
53,3633
54,3511
55,3744
56,3684
57,3657
58,3460
59,3460
60,3693
61,3647
62,3607
63,3693
64,3684
65,3633
66,3556
67,3460
68,3684
69,3607
70,3460
71,3684
72,3865
73,3693
74,3531
75,3642
76,3657
77,3693
78,3866
79,3693
80,3460
81,3633
82,3460
83,3657
84,3693
85,3607
86,3633
87,3693
88,3606
89,3684
90,3693
91,3460
92,3606
93,3683
94,3633
95,3460
96,3917
97,3926
98,3684
99,3693
100,3693
101,3460
102,3890
103,3839
104,3606
105,3511
106,3460
107,3684
108,3633
109,3607
110,3684
111,3683
112,3607
113,3693
114,3684
115,3511
116,3917
117,3607
118,3926
119,3839
120,3460
121,3890
122,3866
123,3614
124,3926
125,3744
126,3917
127,3693
128,3633
129,3693
130,3460
131,3840
132,3917
133,3693
134,3917
135,3511
136,3789
137,3633
138,3866
139,3875
140,3693
141,3926
142,3460
143,3693
144,3875
145,3607
146,3917
147,3642
148,3693
149,3926
150,3693
151,3693
152,3926
153,3693
154,3693
155,3926
156,3642
157,3633
158,3460
159,3693
160,3633
161,3865
162,3926
163,3460
164,3633
165,3744
166,3744
167,3891
168,3556
169,3645
170,3460
171,3642
172,3840
173,3693
174,3866
175,4022
176,3926
177,3556
178,3693
179,3632
180,3693
181,3865
182,3460
183,3607
184,3693
185,3607
186,3693
187,3789
188,3693
189,3789
190,3917
191,3693
192,3866
193,3926
194,3657
195,3693
196,3693
197,3657
198,3693
199,3693
200,3606
201,3642
202,3511
203,3460
204,3606
205,3926
